stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,liver,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,83.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,49.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.28,0,0,7.85,0,0,0,67.62,8.41,0,10.57,0,0,0,0
 10-12,0,0,3.2,0,0,0,0,0,0,0,0,0,31.37,0,0,36.45,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.03,0,1.45,0,0,0,0.65,7.52,0,0,0,0,0.7,0.69,0
 36-46,0,0,0,0,0,0.93,0,0.92,0,0,0,0,3.21,0,0.6,0,0,4,2.43,0
 48-58,0,0,0,0,0,1.46,0,0,0,0,0,0,5.67,0,1.29,0,0,0,0,0
 60-70,0,0,0,2.77,0,7.87,1.02,1.28,0,0,0,0.89,10.42,0,0,0,0,0,0,0
 72-82,0,0,0,0.54,6.42,0,0,1.19,0,0,0,2.88,0.97,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.57,0,0,0,0,0,0.99,0,0,0,0,2.4,0,0,0
 96-106,0,0,0,0,0,18.51,0,2.41,0,1.1,0,0,0,0,0,0,0,0,0,0.88
108-118,0,0,0,1.33,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0
120,0,0,0,1.48,0,23.55,0,0,0,0,2.58,3.8,17.48,0,0,0,0,0,0,0
