stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0
 24-34,0.59,2.73,0,0,0,0,0,0,0,0,0,0,0,0,7.52,0,0.63,5.68,0,3.64,0,0,0
 36-46,0,6.11,0,1.66,0,1.43,0,0,0,0,0,0,1.53,0,8.96,0,1.13,13.31,0,0,0,0,0
 48-58,0,2.47,0.83,0,0,0,0.38,0,0,0,2.89,0,1.49,0,7.81,0,0,9.56,0,0.45,0,0,0
 60-70,0,1.55,6.18,0,0,0,0,0,2.8,0,0,0.63,0,1.9,6.79,0,0,5.08,0,5.22,0.61,0,0
 72-82,0,1.65,12.88,0,0,0,0,0,0,0,0.9,3.67,2.83,0,5.94,0,0.49,1.46,0,0.91,0,0,0
 84-94,0,3.82,2.12,0,0.62,0,0,1.95,0,0,1.16,0,1.96,0,2.36,0,2.61,13.17,0,0,0.66,0,2.03
 96-106,0,5.36,15.19,0,0,1.14,0,0,0,0,0,0.75,5.97,0.66,15.68,1.33,0,9.33,0,0,0,0,0
108-118,0,9.06,4.96,0.78,1.02,0.48,0,0,0,4.71,5.41,3.59,3.35,0,10.97,0,8.21,20.68,0.55,1.12,0.54,4.23,0
120,0,4.92,2.16,0,0,0,1,0,0,0,0,0,5.59,0,1.95,1.11,2.55,2.93,0,6.95,1.39,0,0
