stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.42,0,0,18.97,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.06,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,187.62,1.55,0,0,0,0,0,0,83.43,0,0,0,0,0
 24-34,0,0.67,7.41,7.45,0,2.65,0,0,0,0,0,0,0,0,0,1.07,0,0,0.65,0,0,0,301.22,62.56,0,0,0.71,0,0,1.46,211.48,0,0,8.96,0,0
 36-46,0,2.4,18.5,0,0,11.17,0,0,0,1.35,0,0,0,0,0,0,0,0,3.29,0,0,0,386.93,87.36,0,0,20.5,0,0,0,391.56,0,0,0,0,0
 48-58,0,2.05,1.96,0,0,49.67,0,0,0,16.71,0.49,1.83,0,0,0,2,0,0,17.03,0,1.31,0.62,657,46.94,1.14,0,0.68,0,0,0,678.88,0,0,0.56,0,0
 60-70,0,0,4.22,0.58,0,173.74,0,0,0,43.9,0,1.74,2.49,9.12,0.79,3.03,0,0,22.48,0,2.11,4.13,1683.7,52.86,2.24,0,3.42,0,0,0,1271.97,0,0.8,3.07,0,10.33
 72-82,0,2.99,14.88,5.21,0,302.28,0,0,0.8,159.48,0.51,0,0,0,1.64,12.1,0.54,1.88,34.54,0,4.22,2.43,2358.38,74.79,0,0,8.34,0,0,0,1467.71,0.95,4.53,2.64,2.87,13.91
 84-94,0,0,10.55,5.58,0,230.19,5.59,0,0,138.23,1.52,0,4.36,0,1.32,11.95,1.5,1.25,24.98,0,5.74,0.65,1636.73,69.33,17.61,0,22.83,0,0,0,919.2,0.57,2.18,0,8.09,0.86
 96-106,0,0,27.67,21.56,0,275.52,1.7,0.74,6.2,137.87,2.27,0.87,2.31,1.78,2.67,7.67,0,7.73,51.07,1.42,1.11,1.26,1618.78,97.26,0,0,3.68,3.82,0,0,576.3,5.99,1.2,0,4.95,4.35
108-118,0,4.9,18.09,1.13,2.62,343.48,2.21,3.5,0,309.12,0.93,0,0.66,0,5.64,19.09,0,0,43.66,0,3.6,1.38,3331.93,73.6,0,0,4.54,0,1.48,0,658.35,5.13,3.69,1.75,4.52,0
120,0,1.37,9.79,1.65,0,361.45,0,4.4,10.89,399.83,0,0,0,1.05,6.33,23.1,0,7.52,27.18,0,0,4.95,3248.81,50.98,0,0,2.06,0,0,0,963.05,0,23.45,0,2.27,0
