stage,erythrocytes,eye,glial,heart,lateral_line,mesenchyme,muscle,neural,otic,periderm,somites,spinal_cord,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,7.41,0,0,0
  7-9,0,0,0,0,0,0,0,4.39,0,0,0,0,0
 14-21,1.72,0,0,0.84,0,0.83,0,0,0,0,1.21,1.76,0
 24-34,0,0,0,0,0,1.33,1.29,3.14,0,0,0,2.78,0
 36-46,0,0,0,0,0,2.74,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.16,0,4.72,1.22,0,0,0,0
 60-70,0,1.76,0,0,1.13,1.73,0.85,0,0,0,0,0,0
 72-82,0,0,0,0,0.64,2.21,0.64,3.84,1.98,0,0,0,0
 84-94,0,0,0,0,1.91,3.51,0,10.03,7.25,0,0,0,0
 96-106,0,0.6,0,0,1.29,0,0,7.08,8.21,0,0,0,2.11
108-118,0,0,1.45,0,0.64,0.94,0,5.6,8.84,0,0,0,0
120,0,0,0,0,0,7.25,0,19.92,33.06,0,0,0,0
