stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.31,0,0,0,0,20.11,0,0,0,0,0,11.84,0,0,0,0,0,0,97.17,0,0,0,42.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.96,0,17.24,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0,0,106.47,4.99,0,0,61.02,0,0,0,9.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.06,0,0.9,0,0,0,0,0,0,0,0,0.86,0,0,0,7.15,0,0,0,0,0,0,1.15,0,0,0.81,7.53,0,0,0,0,0
 24-34,0,0.67,0,0.81,0,0.74,0,0,2.18,0,0,0,0,0,1.66,0,0,0.69,39.32,0,2.07,0,0,0,0,0,0,0,0.75,7.9,0,0,0,0,0
 36-46,0,0,0,0,0,3.45,0,0,0,0,0,0,0,12.13,0.56,0,0,0,65.25,0,3.42,0.8,0,0,0,0,1.31,0,0,15.7,0,0,0,0,0
 48-58,0,0,0,0,0,9.27,0,0,0.78,6.46,0,0,0,4.83,2.25,0,0,3.05,119.66,0,0.37,0,0,0,0.55,0,0,0,0,15.88,0,0,0,0,0
 60-70,0,0,0,4.03,0,72.83,0,2.24,0.72,7.4,0,0,0,0,14.95,0,0,2.22,152.14,0,9.11,0,0,0,3.29,0,0,0,0,24.74,0.81,0,0,0,0
 72-82,0,0,0,1.65,4.65,63.08,0,0,0.75,4.84,0,0,0,0,13.84,0,0,1.86,99.19,3.31,0,0.76,0,0,0,0,0,0,0,8.2,0,0,0,1.08,0
 84-94,0,0,0,4.05,0,25.4,0,0,0,0,0,0,1.33,0,14.7,0,8.19,0,62.02,0,0,0,0,0,3.37,0,0,0.62,0,16.97,0,1.22,4.15,0,1.57
 96-106,0,0,0,2.95,0,35.28,0,0,0,10.53,0,0,0,0.6,8.85,0,0,1.81,81.48,0,0,1.23,0,1.17,0,0,0,0,0,2.09,0,0,6.42,0,1.26
108-118,0,0,0,0.7,0.41,15.3,0,4.61,0,1.82,0.47,0,0,0,5.42,0,0,0,111.93,0,0.84,0,0,2.43,0.67,0,0,0,0,3.15,0,1.17,0,0.92,0
120,0,0,0,5.78,2.14,65.69,2.24,0,7.61,10.33,0,0,0,0,2.6,14.25,0,0,158.18,0,2.28,1.87,0,0,0,0,0,0,0,4.47,0,0,0,0,0
