stage,axial,blastomeres,eye,gut,hatching_gland,muscle,neural,paraxial_mesoderm,periderm,pronephros
  3-4,9.89,35.15,0,0,0,0,0,0,9.9,0
  5-6,0,136.95,0,0,0,0,0,0,0,0
  7-9,0,4.83,4.58,0,0,0,43.08,33.94,0,0
 10-12,0,0,3.13,0,5.16,0,4.24,15.98,0,6.91
 14-21,0,0,0,0,0,1.3,0.85,0,0,2.59
 24-34,0,0,0,0,0,0,1.27,0,0,5.77
 36-46,0,0,0,0,0,0,0,0,0,0.75
 48-58,0,0,0,0,0,0,1.21,0,0,8.01
 60-70,0,0,0,0,0,0,0,0,0,6.61
 72-82,0,0,0,0,0,0,0,0,0.9,6.28
 84-94,0,0,0,0,0,0,0,0,0,10.45
 96-106,0,0,0,0.84,0,0,0.85,0,0,13.4
108-118,0,0,0,1.51,0,0,0.69,0,1.41,8.04
120,0,0,0,0,0,0,0,0,2.04,7.59
