stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,498.56,13674.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,903.33,13572.28,12.33,0,0,0,0,0,0,0,0,42.92,0,0,0,0,0,0,0,0,0,0,531.68,52.81,0,0,117.92,0,73.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,348.07,521.31,710.68,0,6.96,0,1403.98,0,0,0,0,538.78,0,0,0,0,0,0,0,0,0,0,12319.77,332.6,0,0,4580.25,0,27.86,89.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,459.73,919.22,0,84.86,0,1300.92,0,0,0,0,289.87,0,0,0,0,0,7.47,0,0,0,0,11430.31,174.54,0,0,4334.18,0,3.1,50.19,21.65,484.65,0,35.79,17.06,0,0,0,0,0
 14-21,0.89,0,16.89,89.47,30.19,0,37.78,0,0,22.32,9.03,0.96,0.84,0,2,0,0,13.82,57.01,0,0,38.27,712.61,41,7.18,3.95,38.58,0,13.95,0,92.75,9.13,0,52.12,174.9,0,0,13.63,0,0
 24-34,0,0,2.29,18.07,4.52,0,122.51,0.67,0.63,26.97,3.27,0,1.45,1.38,1.31,8.2,2.44,0,104.06,0,0.81,34.45,1153.71,3.7,10.91,6.8,0,0,26.11,0,1.12,0.98,2.48,8.62,182.02,0,0,24.59,0,0
 36-46,0,0,0,6.33,0.64,0,390.31,0,1.45,22.54,0,0,1.68,0.93,0,3.97,0.57,0.78,122.77,0,2.82,28.31,777.96,0.58,1.86,2.69,0,0,7.84,0,1.05,0,0,0,148.82,0,0,7.59,0,1.44
 48-58,0,0,0,8.08,2,0,478.75,1.86,0.96,33.5,0,0,1.07,11.37,0,2.18,1.76,0,78.1,0.37,10.43,36.61,364,1.45,0.95,0.44,0,0,3.21,0,0,1.65,0,0,69.2,0,0,7.95,0,0
 60-70,0,0,0,36,5.3,0,375.37,1.59,0,35.89,10.44,0,0,0.61,0,9.57,1.4,0,84.01,0,3.42,11.77,283.29,0,0,0.64,0,0,5.08,0,0,7.73,0,0,14.9,0,0,3.59,0,0
 72-82,0,0,0,8.45,0,0,79.65,0,1.51,30.1,3.67,0,0,2.87,1.39,0,0.92,0.74,65.06,1.87,0,8.59,150.69,1.03,0.63,0,0,0.71,1.53,0,0,0.84,0,0,1.09,0.92,2.43,6.8,0.93,7.08
 84-94,0,0,1.01,6.22,2.43,0,116.34,0,0,25.5,1.83,0,0,0.58,0,0,0,0,66.44,1.16,7.82,13.98,131.68,4.43,0,3.51,0,1.4,7.21,0,0,0.79,0,0,0,1.91,0,3.26,0,0
 96-106,0,0,0,4.12,0,0,86.38,0,0,18.21,1.42,0,0.89,2.05,0,0,0,8.27,28.82,0,2.12,4,100.63,0,1.99,1.36,0,2.71,2.79,0,0,0,0,0,1.07,0,0,18.18,0,0
108-118,0,0,0,8.17,1.99,0,68.21,0,0.89,16.98,1.8,0,0.47,3.89,0.49,2.05,3.43,1.93,26.18,0,0,8.05,110.65,0.77,0.89,1.76,0,0,0.91,0,0,1.85,0,0,2.23,1.22,2.45,6.79,0.54,0
120,0,0,0,3.73,1.39,1.89,62.27,0,0,48.77,2.56,0,0,6.12,0,0,0,3.99,44.83,0,11.44,14.64,115.21,0,8.55,2.09,0,0,0,0,0,0,0,0,0,0,0,11.69,0,0
