stage,blastomeres,eye,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,15.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,31.08,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,17.52,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.88,0,0.97,0,0
 24-34,0,1.36,0,0,0,0,0,0,0,0,4.83,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.04,0,0.71,0,1.14,0,0,0
 48-58,0,1.46,0.64,0,0,0,0,1.35,0,0,2.76,0,0,0,0
 60-70,0,0,0,1.79,0,0,0,0.57,0,0,1.29,0,0,0,0.71
 72-82,0,1.88,0,0.5,0,0.58,0,1.79,0,0,0.66,0,1.21,0,0
 84-94,0,1.02,0,0,0,0,0,3.21,0,0,0,0,0,2.15,0
 96-106,0,0,0,0,0.74,0,0,3.48,0,0,0,0,0,0,1.5
108-118,0,0,0,1.28,0,0,0.43,4.27,0,0,10.64,0,0,0,3.82
120,0,0,0,0,0,0,0,2,12.5,0,5.73,0,0,0,0
