stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,7.81,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.92,0.81,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,37.89,0,0,0,1.02,0,0,0.86,1,1.08,206.3,0,0,0,0,0
 24-34,0,0,0,0,8.26,0,0,10.82,0,0,0.69,0.62,0,0,0,0,0,0,0,0,3.07,0,0,9.77,1053.48,0,2.87,1.03,0,0,1.91,0,1.06,0.74,1039.35,0,0,4.24,0,5.95
 36-46,0,0,0,0,1.4,1.05,0,18.93,0,0,0,7.22,0,0,0,0,0,0,0,0,12.28,0,0,2.95,2354.55,0,1.03,0,0,0,11.96,0,0,0,925.55,0,0,0,0,2.12
 48-58,0,0,0,0,3.22,0,0,209.33,0,0,1.27,28.39,0,1.51,6.66,0,0.41,0.38,0,0,12.19,0.39,0.75,1.75,2912.72,1.16,0.85,0.41,0,0,0.88,0,0.37,0,615.84,0,0,2,0,9.93
 60-70,0,0,0,0,12.13,0,0,607.27,1.99,5.32,0.93,30.52,6.9,0.84,7.65,0,0,0,0,0,38.55,0,7.5,0,3660.69,0,1.5,0.86,0,0,7.6,0,4.15,0,368.67,0,0,0,0,16.63
 72-82,0,0,0,0,19.56,4.37,0,1347.7,0.79,4.5,3.54,67.65,3.26,2.57,4.64,0,1.38,0.49,10.04,7.1,83.24,1.47,1.13,4.84,5285.16,0,3.06,3.9,0,0,11.96,0,0,0,411.59,2.31,0,0.5,11.7,8.7
 84-94,0,0,0,0,31.74,6.42,0,1337.81,5.38,0,4.38,57.96,5.31,0,3.5,0.6,5.88,0,2.93,0,27.11,0,2.55,0,3818.52,0,0.71,0,0,0,5.34,0,0,0,172.15,0,1.64,3.82,5.15,0
 96-106,0,0,0,1.2,25.11,34.34,0,2010.14,1.56,0.59,12.58,82.08,1.18,1.62,6.06,1.29,2.45,1.1,13.9,0,71.25,0.71,3.73,2.03,3838.46,0,3.15,1.88,0,0.83,22.56,0,0,0,162.54,0,3.69,9.37,0,0.68
108-118,0,0,1.03,0.74,37.08,19.62,1.05,2948.58,4.2,3.62,7.42,153.86,2.95,1.35,1.73,3.43,0.69,0,9.41,0,74.73,2.33,1.62,7.54,5631.52,1.34,4.16,4.55,0,0,8.06,0,0.59,0,126.85,2.57,0,3.17,0.54,11.27
120,0,0,2.44,0,68.56,3.84,7.39,2120.99,0,6.04,0,138.96,2.12,0,6.17,0,0,6.94,21.72,0,152.63,0,19.65,4.11,8242.91,0,2,7.83,0,0,44.38,0,2.98,0,100.01,0,10.18,20.22,0,0
