stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.1,788.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0
  5-6,50.05,752.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.62,16.8,0,0,6.69,0,7.22,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.68,0,27.62,0,0,0,5.81,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,275.46,3.63,0,0,73.38,0,0,20.92,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,34.3,0,0,0,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.79,0,0,0,128.77,0,0,9.6,0,4.98,0,0,0,0,0,0,0
 14-21,0,0,0,2.38,15.32,1.86,0,5.28,0,0,0,4.13,0,0,0.85,0,0,0.96,0,0,0,10.82,0,0,7.21,172.71,4.38,0,2.04,5.13,0,4.65,1.12,41.93,1.95,3.92,12.46,45.89,0,0,0,0
 24-34,0,0,0.84,0.84,8.48,0,0,22.01,0.72,1.97,0,6.41,0,0,0,0.73,0,0,0,0.68,0,33.07,0,0,15.19,348.99,0,1.52,0.76,0,0,9.23,0,0,2.86,0,3.25,79.07,0,3.71,0,4.43
 36-46,0,0,0,0,3.1,6.7,0,45.96,0,0,0,5.56,2.82,0,9.03,3.24,0,0,0.7,4.79,1.56,18.03,0,0,5.42,320.14,5.27,0,4.14,0,0,13.26,0,0,0,0,0,70.15,0,0.59,0,6.99
 48-58,0,0,0,0,4.18,0,0,65.67,1.75,2.48,4.88,23.02,2.44,1.19,4.35,0.93,0,0,0.41,0,1.1,24.5,0,0.44,10.67,238.36,0.65,0.89,0.92,0,0,7.81,0,0,0,0,0,46.53,0.49,0.48,0,3.48
 60-70,0,0,0,0,0.6,0,0,124.79,0,0.87,0,10.28,0,0,4.23,0,0.56,0.61,0,0,0,33.02,0,0,5.07,188.12,0,0,0,0,0,5.57,0,0,0,0,0,19.57,0.69,3.97,0,0
 72-82,0,0,0.69,0,1.25,3.91,0,95.03,0,0,5.32,19.19,3.24,0,0,0,0,1.58,1.32,0.97,0,53.82,0,3.63,1.94,157.11,1.43,0,4.73,0,0.71,5.52,0,0,2.73,0,0,14.24,1.56,5.58,0.57,1.16
 84-94,0,0,1.15,0,11.3,10.59,1.52,92.64,0,0,0,16.5,1.39,0,0.82,2.32,4.11,1.25,0,0,10.83,34.46,1.77,0,3.24,116.06,0.72,0,3.88,0,2.02,17.33,0,0,1.29,0.66,0,17.87,0,4.38,0.92,0.59
 96-106,0,0,0,0,6.6,8.68,3.47,68.98,0,0.57,0,15.19,0,0,0,6.48,3.94,0,0,3.08,0.69,36.72,0,2.74,1.8,138.68,0.62,1.03,2.05,0,0,20.14,0,0,0.69,0,0,0,5.27,8.08,0,2.68
108-118,0,0,0.97,0,11.3,2.98,1.62,78.97,0,1.11,1.74,32.01,4.03,0,0,3.52,8.37,3.81,1.56,0.51,0.68,47.56,0,0,4.66,159.07,0,1.82,3.46,0,1.32,20.14,0,0,0.42,0,0,2.75,2.42,3.68,2.27,0
120,0,0,0,0,6.39,4.71,13.05,53.07,0,0,0,28.78,0,0,0,4.69,0,0,0,0,0,60.93,0,0,7.21,188.3,0,0,1.43,0,0,8.37,0,0,0,0,0,1.19,0,3.29,0,4.33
