stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,163.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,164.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.29,0,0,13.37,0,0,0,0,0,0,0,0,0,0,122.77,0,0,0,7.07,0,0,0,0,0,0,0
 10-12,0,12.42,17.2,0,0,22.18,0,0,0,0,0,0,0,0,0,0,239.88,8.61,0,0,4.27,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,0,14.03,1.02,0,5.44,0,0,0,0,2.64,0,1.76,114.03,0,0,0,0.8,0,0,16.45,0,0,0,0
 24-34,0,0,0,10.56,0,22.94,0,0,11.04,0.62,0,0,0,7.8,0,1.59,215.55,0,0,0,0,0,0,30.71,0,0,0.89,0
 36-46,0,0,0,0,0.76,40.83,1.54,0,16.17,0,0,0,0,7.8,0,4.88,336.95,0,1.15,0,0,0.78,0,39.14,0,0,1.32,0
 48-58,0,0,0,0,0,127.16,13.48,1.42,14.13,0,0,0,0,7.39,0.4,1.48,431.94,0,0,0,0,0,0,66.28,0,0,1.8,0
 60-70,0,0,0,0,1.43,118.8,18.65,0,27.39,0,0,0,0,3.75,2.52,0.68,468.4,0,0,0,0,0,0,56.59,0,0.67,0,0
 72-82,0,0,0,1.38,0,90.37,12.11,0,41.38,0,0.49,0,6.49,8.11,0.93,0,295.05,0,0,0,0,0,0,37.5,0.91,0.66,3.67,0
 84-94,0,0,0,0.79,0.68,62.69,7.18,0,55.23,0,0,0,0,12.21,0.61,3.79,242.08,0,0.55,0.74,0,1.39,0,24.94,0,0,0.63,1.53
 96-106,0,0,0,0.64,1.27,59.32,7.62,0,54.87,0,0,0,0,7.37,0,2.73,157.83,1.59,0,0,0,0,0.7,30.66,0,0,0,0
108-118,0,0,0,0.76,0,57.92,7.65,0,61.62,0,0,1.09,0,14.86,0,0.5,227.94,0,0,0,0,0,0,19.32,0,0,1.1,0
120,0,0,0,1.14,0,49.11,7.85,0,39.64,2.26,0,4.16,0,40.22,0,1.82,317.24,0,0,14.73,0,0,0,25.95,0,0,0,0
