stage,epidermis,eye,fast_muscle,gut,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,6.02,0,0,0,0,0,8.59,0,0,0
 10-12,0,0,0,0,0,0,9.7,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.01,0
 24-34,0,0,0,0,1.13,0,1.44,0,3.9,2.17,0
 36-46,8.28,0,0,0,1.4,0,2.86,0,0,0.73,6.35
 48-58,0,0.67,0,0,0,0,6.96,0,0,0.74,0
 60-70,0,1.5,0,0,0,0,4.4,0,0.76,0,0
 72-82,0,0,0,0,0,0,0.97,0,0,0,0
 84-94,0,1.44,9.11,0.72,0,0.56,1.03,0,4.13,0,0
 96-106,0.64,4.88,0,0,0,10.77,1.09,0,0,0,0
108-118,0.47,0,0,0,0,0.92,0,0,0.47,0,0
120,0,0,0,0,0,0,0,0,2.71,0,0
