stage,epidermis,eye,gut,liver,neural,paraxial_mesoderm
  7-9,0,0,0,0,0,5.77
 84-94,0,0,0,0,2.11,0
 96-106,7.83,0,0,0,3.29,0
108-118,3.31,4.85,0,2.21,0,0
120,0,0,8.33,0,0,0
