stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.7,0,0,0,0,0,0,0,0.92,0,0,0,0,0,19.7,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.58,0,0,0,0,0,0,0,8.94,0,0,0,0,0,34.58,0,0,0,8.35,1.84,0,0,0,0,0,0.71,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.59,0,0,0,21.38,0.88,0,0,0,0,81.96,0,0,0,13.6,1.42,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,7.44,0,0,0,12.49,0,0,0,2.01,0,116.19,0,0,0,6.6,0,0,0,0,0,0,2.19,0,0,0,0,0
 72-82,0,0,3.31,0,0,0,9.54,0,0.78,1.29,3.2,0,0,0,0,0,250.5,4.17,0,1.9,37.53,0,0,0,0,0,0,3.65,2.31,0.53,0,0,0
 84-94,0,1.18,0,0.56,1.21,0,14.06,0,0.8,1.68,7.33,0,0,0,0,0,711.33,1.27,0,0,51.35,0,0,0.79,0,1.14,0,2.68,0,0,1.29,0,0
 96-106,0,0,0,3,0,0.63,14.52,0,2.75,0,5.83,0,0.74,0.82,0,0,686.14,4.1,1.44,0.65,73,0,0,0,2.14,7.04,0,1.63,0,0,1.73,2.56,11.07
108-118,0,0,0,0,1.6,0,14.01,0.67,1.29,6.37,14.16,0,0.97,0.58,0,0.66,1127.84,10.03,0,0,59.12,0,0,0.76,0,7.23,0.47,5.04,0,0,0.87,0.68,0
120,0,3.64,0,0,0,0,8.81,0,0,2.76,15.78,0,0,0,0,0,538.02,5.34,0,0,38.95,0,8.69,0,0,1.09,0,0,0,0,0,0,0
