stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,heart,immune,liver,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,39.18,1106.32,0,0,0,0,0,0,0,0,0,0,0,0,0,39.13,0,0,0
  5-6,38.01,473.83,0,0,0,0,0,0,0,0,0,0,32.96,0,0,6.16,0,0,0
  7-9,20.29,6.21,12.43,0,0,0,0,0,0,0,0,0,144.18,3.27,17.8,0,5.15,0,0
 10-12,0,0,0,0,0,0,6.95,0,0,0,0,0,53.46,12.18,37.72,0,0,13.76,0
 14-21,0,0,0,1.3,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,3.37
 24-34,0,0,0,0,0,0,0,0,1.9,0,0,0,6.35,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.77,0,0,0,7.21,0,0,0,0,0,1.16
 48-58,0,0,0,0,0,0.61,0,0,2.48,0,0,0,9.03,0,0,0,0,0,1.05
 60-70,0,0,0,0,4.05,0,0,0,7.43,1.33,7.99,0,7.86,0,0,0.83,0,0,1.38
 72-82,0,0,0,0,9.91,0.84,0,0,2.89,0,0,0,12.42,0,0,0,0,0,0
 84-94,0,0,0,0,14.13,0,0,0,2.2,0,0.62,1.06,0,0,0,0.7,0,0,0
 96-106,0,0,0,0,27.21,0,0,1.3,3.56,0,2.26,0,0,0,0,4.28,0,0,0
108-118,0,0,0,0,7.7,1.15,0,0,2.45,0,0.43,0,4.96,0,0,0.47,0,0,0
120,0,0,0,0,5.14,0,0,0,1.88,0,0,0,0,0,0,3.22,0,0,0
