stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,135.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,247.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.81,11.29,0,0,22.72,0,0,3.57,0,0,0,0,0,0,0,0,189.94,0,0,52.72,0,0,0,0,0,0,0,0
 10-12,0,0,5.32,0,4.74,14.97,0,0,5.11,0,0,0,0,0,0,0,0,180.44,3.95,0,48.44,0,0,0,11.83,0,0,3.28,0
 14-21,0,0,0,0.97,0,0,0.83,0,0,0,0,0,0,0,0,0,0,11.89,0.87,0,0,0,0,0.83,0,0,0,5.66,0
 24-34,0,0,0,0.8,0,4.7,0,0.61,0,0,0,0,6.62,0,0,0,0,39.54,0,1.31,0,0,0,0,0,0,0.62,12.72,1.44
 36-46,0,0,0,0,0,6.32,0,0,0,0,0,1.74,0,2.08,0,0,5.45,61.26,0,0.59,0,0,11.02,0,0,0,0,14.18,0
 48-58,0,0,0,0.47,0,15.15,2.47,0,0,0,0,0,0,2.85,0.42,0.51,0.63,48.11,0,0,0,0,0,0,0,0,0,11.79,0
 60-70,0,0,0,3.61,0,16.32,2.34,0,0,0,0,0,0,1.14,0,0,0,39.34,0,0,0,0,0,0,0,0,0,1.86,2.6
 72-82,0,0,0,0,0,18.59,4.25,0,0.59,2.04,0.64,0,0,3.92,0,0,0,65.53,0,0,0,1.77,6.75,0,0,0,0,9.31,0.87
 84-94,0,0,0,0.83,0,15.47,5.87,0,0,0,0,0,0,5.55,0,0,0,38.03,0,0,0,0,1.33,0,0,0,0,0.77,0
 96-106,0,0,0,0,5.88,14.87,4.81,0,0,0,0,0,0,4.66,0,0,0,24.41,0,0,0,0,0,0,0,0,0,0,1.21
108-118,0,0,0,0.66,0,10.03,0.76,0.68,0,0,0,0,0,4.85,0,0,0,14.26,0,0,0,0.87,0,0,0,0.41,0,0,0
120,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,40.02,0,0,0,0,0,0,0,0,0,0,0
