stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,0,76.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0
 14-21,0,0,1.23,0,3.25,0,1.04,0,8.52,1.46,0.85,0,3.54,0,0,0.93,0,0,38.68,2,2.34,1.82,0.86,21.08,0,0
 24-34,0,0,0,0.74,0,0,3.82,0,11.92,0,0,0,3.35,0,0.74,0.68,0,0,78.8,19.88,1.41,11.59,1.27,19.77,0,0
 36-46,0,0,0.95,0,0.63,0,11.74,0,7.96,0,0,0,5.81,0,0.57,0,0,0,55.65,12.55,0,4.35,17.08,18.81,0,0
 48-58,0,0,0,0,0,0,13.23,0.39,11.65,1.18,0,0,0,0.51,2.63,1.74,0.57,0,35.83,18.62,0.39,8.43,0.42,18.21,0,3.94
 60-70,0,0,0.86,0,1.13,0,16.48,0,22.11,1.67,0,0,3.65,1.76,0,1.98,0,0,20.42,27.58,2.24,2.77,0,10.29,0,0
 72-82,0,0,3.19,0,3.83,0,6.87,0,22.93,5.41,0,0,7.02,8.67,0,1.92,4.21,1.08,20.7,69.07,8.79,5.54,0.66,8.27,0,2.3
 84-94,0,0,1.05,0,5.2,1.17,20.07,0,7.34,3.5,0,4.57,3.5,2.05,0,1.33,1.13,0,11.19,27.95,2.59,10.98,0,3.29,1.95,0
 96-106,0,0,3.17,0,2.71,0,15.84,0,20.77,16.84,0,6.54,11.91,7.41,8.9,0,0,0,25.48,83.49,2.5,9.34,0,0.99,0.79,1.17
108-118,0,0,3.49,0,12.55,1.11,6.37,0,32.73,24.16,0,1.12,4.79,3.23,2.75,4.23,0,0,21.24,35.29,24.15,11.48,0.46,13.82,8.26,0.54
120,1.19,0,0,6.07,1.46,0,51.44,0,70.61,32.39,0,2.43,14.01,7.5,10.52,26.79,0,4.22,19.08,50.98,6.2,0,0,3.65,1.37,10.01
