stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.92,174.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,66.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.57,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.97,3.56,0,0,38.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.71,0,7.46,0,0,0,28.31,0,0,0,0,0,8.42,0,0,0,0,0,5.32,0,0,0,0,0,251.21,28.87,0,0,54.12,0,5.55,0,3.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.55,7.73,14.71,0,2.29,0,0,0,1.01,3.73,0,0,0,46.68,0,0,211.72,9.38,3.6,0.9,0,1.95,132.48,5.41,0,4.5,6.29,0,1.8,2.24,35.98,0.87,1.84,81.34,0,0,1.35,0,5.65
 24-34,0,0,0,6.67,3.65,17.81,0,8.75,0,0,0,3.11,14.21,0,0,0,172.5,0,0,134.26,12.96,6.08,9.35,1.52,2.39,379.07,0,7.11,2.8,0,8.52,0,0,129.37,2.1,0,99.42,0,0,2.9,0,8.11
 36-46,0,0,0,0,4.62,0,0,38.51,0,0,0,1,2.17,0,0,1.86,32.01,0,0,59.14,9.71,3.89,4.03,0,0.94,911.27,0,4,1.89,0,0,0.65,0,71.79,5.29,0,203.02,0,0,1.41,0,5.08
 48-58,0,0,0,0,11.02,0,0,253.16,0.48,0,0.78,20.39,13.34,0,0,0,24.94,0,0,60.28,0,9.81,2.82,3.82,2.18,1261.92,0,5.42,0.94,0,2.77,0,0,40.33,7.65,0,221.64,0,0,2.62,0,1.61
 60-70,0,0,0,0,4.76,0.61,2.15,743.62,0,0,0,11.08,34.09,0,0,0,17.22,0.81,0,61.61,0,25.28,4.07,0,4.51,1828.87,0,4.51,2.6,0,15.47,0,0,53.6,9.23,0,288.39,0.76,0.57,1.03,0,0
 72-82,0,0,1.8,0.56,23.61,1.9,0,639.1,8.17,8.97,2.24,31.52,44.05,0,1.48,2.95,10.84,0,0,141.3,0,23.37,0.92,1.01,3.26,1580.12,0,14.53,3.31,0,6.25,0,0,118.78,1.06,0,182.14,1.01,2.02,0,0.56,14.87
 84-94,0,0,3.49,0,13.74,4.61,0,630.02,0,0,0,27.93,62.58,0,0,4.33,13.26,0,0,193.6,6.1,13.89,1.2,0,0,1127.24,0,25.5,6.76,0,3.76,0,0,181.46,4.88,0,112.06,0,1.48,18.78,0.63,0
 96-106,0,0,5.85,1.07,16.58,18.17,1.07,553.03,3.01,0.91,1.05,38.61,73.09,0,0,4.95,30.97,1.41,5.66,567.47,0,24.01,0,1.41,1.68,1040.45,0,46.21,13.21,0,24.82,0.64,0,276.28,2.06,0,54.24,1.63,4.42,1.22,0.69,1.4
108-118,0,0,5.89,0,20.73,3.24,1.98,389.65,3.13,0,4.1,22.14,33.78,0,0,4.11,24.89,0.42,0.99,527.27,0,23.72,4.72,1.11,2.18,1474.73,0,22.77,6.35,0,12.96,0,0,224.8,9.97,0,52.65,2.42,0,1.26,4.85,0.59
120,2.37,0,3.01,0,17.31,5.59,14.33,436.66,11.84,0,0,90.78,31.25,0,0,7.14,15.66,0,0,418.81,0,39.36,1.56,10.53,1.52,2060.09,0,39.37,15.8,0,1.39,0,0,167.36,4.44,0,27.22,0,0,5.3,10,15.67
