stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.45,373.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.87,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,230.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.49,0,0,0,0,0,0,0,0,0,0
  7-9,4.98,0,0,0,0,0,0,26.17,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,109.05,4.58,0,0,24.93,148.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,13.75,0,6.14,0,16.71,0,0,0,0,0,20.54,0,0,0,0,0,0,0,0,0,0,3.87,147.09,0,0,0,5.73,48.37,0,0,0,0,3.24,0,0,0,0,0
 14-21,0,0,0,0,18.44,1.16,0,1.47,0,0,0,2.18,0,0.94,0,0,1.78,0.87,1.14,0,0,0.97,0,0,0,11.24,1.42,0.93,17.79,0,211.43,0.9,1.69,1.77,0,1.09,5.64,0,0,0,2.6
 24-34,0,0,0,0,2.97,0,0,3.56,0,0,0,0,0,0,0,0,11.62,7.16,14.87,0,10.84,2.58,2.09,0,11.46,73.53,12.81,24.62,19.72,0,636.22,0,0,19.92,0,0.71,27.14,0,10.88,0,11.84
 36-46,0,0,0,0.56,2.62,0,0,86.59,0,5.66,0,2.2,1.15,0,0,0,10.26,13.42,1.27,1.91,45.1,0.81,7.74,0,0.93,94.13,23.87,23.12,17.02,0,777.78,0,0,4.05,0,0,21.97,0,0.65,0,48.31
 48-58,0,0,0,0,18.39,0,0,262.04,0,1.2,0.81,6.8,1.9,0,1.36,0,23.7,45.1,19.78,4.33,71.75,4.43,4.54,0,3.19,125.96,2.92,15.79,14.73,0,393.54,0,0,5.39,0,0,16.09,0,0,0,96.82
 60-70,0,0,0.62,0,10.71,0,0,274.7,0,4.33,0,20.69,5.81,4.57,0,0,14.71,200.77,27.99,0,48.86,14.01,8.1,0.71,0,68.76,5.67,28.63,23.89,0,377.6,0,0,0.93,0,0,7.21,4.12,5.67,0,97.29
 72-82,0,0,1.15,0,23.69,0.57,0,101.67,0.75,0,0,24.36,13.52,0.5,0,3.3,2.31,279.13,13.02,0,27.54,14.58,5.28,0,0.53,108.08,0,21.84,27.53,0,204.45,0,0,6.86,0,0,9.93,1.53,8.86,0,92.02
 84-94,0,0,2.89,1.82,46.24,8.55,1.09,121.14,0,5.35,0,14.12,30.07,0,0,1.23,14.6,294.49,18.94,1.49,110.31,15.5,17.53,0,0,45.19,2.41,43.81,41.38,0,527.41,0,0,15.74,0,0,4.09,6.02,0,1.2,100.84
 96-106,0,0,4.41,2.75,65.82,0,1.82,57.03,1.16,5.17,9.83,21.83,29.43,0,0,1.77,22.26,255.1,37.32,4.33,15.91,22.35,6.51,0,1.59,57.69,0.85,26.45,14.02,0,451.24,0,0,3.31,0,0,6.47,33.42,2.02,0.91,58.43
108-118,0,0,2.19,2.08,82.49,1.7,9.52,62.78,0,7.69,0,23.31,42.6,0,0,0,19.32,765.11,18.62,9.03,53.08,9.72,7.38,0,0.75,91.24,0.43,16.06,31.99,0,397.38,0,0,5.69,0.53,0,4.71,29.75,1.28,3.86,111.13
120,0,0,13.34,0,182.23,0,0,71.29,0,10.37,0,15.02,39.46,0,0,1.19,12.99,602.39,19.98,1.5,40.17,22.71,3.68,0,2.04,175.61,1.37,23.22,83.87,0,290.69,0,0,8.05,0,0,3.65,40.78,0,0,44.3
