stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,melanocytes,mesenchyme,neural,notochord,otic,paraxial_mesoderm,pronephros,spinal_cord,xanthophores
  3-4,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.5,0,0,4.89,0,0,0
 10-12,0,0,0,8.11,0,0,0,0,10.22,4.29,0,0,0,0,0
 14-21,0,0,0,0,0,0.85,0,0,0,0,2.1,0,0,0.81,0
 24-34,0,0,0,0,0,0,1.77,0,2.7,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.98,0,1.51,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,6.78,0,0,0,0,0,0,0,2.2
 60-70,0,0,0,0,0.84,0,0,0.77,0,0,0,0,0,0,1.39
 72-82,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.86,0,1.17,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0
