stage,blastomeres,epidermis,eye,fast_muscle,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,15.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.28,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0.8,0,0,0
 24-34,0,0,1.55,0,0,0,0,0,0,0,0,0.6,10.24,0,0,1.95,0,2.57,0
 36-46,0,0,0.63,0,0,0,0,0,0,1.03,0,0,8.11,0,0,0,0,0,0
 48-58,0,0,4.01,6,0.9,0,0,0,0,0.47,0.6,0,20.7,0,0,0,0,0,0
 60-70,0,0,3.52,0,0,0,0,0,1.56,0,0,0,23.31,0,0,0,0,0,0
 72-82,0,0,4.51,0,0,0,0,0,0,8.5,0,0,12.8,1.31,0,0,0,0,0.62
 84-94,0,1.58,0,0,0,0,1.1,0.59,0,2.29,0,0,11.93,7.18,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.75,0,0,0,0
108-118,0,0,0,0,1.21,0,0,1.06,0,2.96,0,2.28,0.94,0,5.19,0,0,1.46,0
120,0,0,0,0,0,1.52,0,0,0,0,0,0,9.75,0,2.59,0,1.84,0,0
