stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,9.65,81.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0
  5-6,0,45.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,0,7.41,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,7.62,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,4.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.63,1.18,0,0,0,1.45,0,0,0,0,0,0,0,7.74,0,0,0,0,0,4.86,0,0
 24-34,0,0,0.69,0,0,2.09,0,0,0,0,0,0,0.65,1.62,0,0,23.64,0,0,0,0,0,5.15,0,0
 36-46,0,0,0,7.25,0.66,15.75,0,0,2.38,0,0,0,0,0,0,1.81,31.37,0,0,0.72,0,0.56,5.78,2.35,0
 48-58,0,0,0,0,13.08,25.15,0,0,6.35,0,0,0,0,2.28,0,5.46,65.58,0,0,0,0,1.45,4.79,0,0.84
 60-70,0,0,2.51,0,13.7,21.2,0,0,1.01,0,0,0,0,4.32,0,5.45,22.36,0,0,2.38,0,3.95,0.6,0.73,1.82
 72-82,0,0,0,0,14.55,17.91,0.55,0,6.49,0,0,0,0,2.26,0,2.22,26.98,4.76,0,0,0,0,3.98,0,0
 84-94,0,0,0.55,0,13.6,5.68,0,0,1.45,0,0,0,0,0,0,1.45,16.68,1.34,0,0,0,1.3,4.27,0,0
 96-106,0,0,0.56,8.58,3.43,13.23,0,0,5.46,0,2.81,0,0.76,10.52,0.59,0.56,28.84,0.73,0,1.05,0,1.11,0,10.09,0
108-118,0,0,4.73,0,6.59,11.13,0.71,1.81,2.22,0.52,0.43,0,0,0,0,11.87,51.57,2.66,0,0,0,1.48,4.6,0,0
120,0,0,1.32,0,19.88,41.47,0,0,11.05,0,3.26,1.12,0,0,0,12.1,10.37,6.25,0,0,0,1.64,0,0,0
