stage,epidermis,eye,mesenchyme,neural,vasculature
 14-21,1.79,0,0,1.4,0
 24-34,1.78,2.41,0,0,0
 36-46,0.72,1.88,0,1.97,2.41
 48-58,0,0,0,3.42,0
 60-70,0,0,1.9,0,0
 72-82,0.5,2.45,0,0,0
 96-106,0,0,1.58,2.14,0
120,0,0,0,3.16,0
