stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,3.47,0,0,1.23,0,0.89,0,0,0,0,0,0
 24-34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,1.63,0,3.94,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 36-46,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.09,0,2.67,0,0,0,0,0,4.6,0,0,0,0,0
 48-58,0,0,0,0,0,3.56,0,0,0,0,7.78,0,0,0,0,0.86,2.08,0,0,0,0,0,39.04,0,0.78,0,0,0.82,0,0,1.88,0,0,0,0,0
 60-70,0,5.18,0,0,0,13.4,0,0,0,4.28,3178.94,0,0,0,0,0,850.49,0,1.03,0,0,0,44.95,0,7.68,0,0,8.82,0,0,23.04,0,0,0,0,0
 72-82,0.71,0,53.56,6.25,2.32,123.84,0,2.85,17.61,33.48,5665.44,0.82,0,1.16,20.18,0.99,1.61,1.45,75.84,1.12,2.8,4.44,916.91,0,8.61,1.65,2.75,15.17,0,0,16.09,8.6,1.92,5.98,1.85,4.89
 84-94,10.12,105.37,9.98,46.77,1.48,290.74,0,3.11,0,44.26,29339.46,0.97,2.98,2.11,5.76,1.2,12.33,16.33,129.59,0,1.01,16.23,583.95,1.52,10.36,6.42,2.23,78.05,2.21,0,42.83,7.51,0,7.02,0,29.23
 96-106,100.34,1635.98,192.72,261.9,36.09,1430.42,7.39,17.61,13.01,242.65,40432.6,9.31,41.1,10.59,14.04,13.08,285.74,5.47,386.13,14.6,13.06,43.81,7865.92,11.71,29.14,32.65,20.15,371.01,1.58,1.17,51.52,20.94,12.91,77.64,37.07,61.64
108-118,4.58,2675.56,98.39,47.03,25.89,536.98,5.42,14.54,23.22,174.85,59655.63,4.47,16.26,7.46,21.96,9.98,89.52,7.85,386.94,1.25,12.83,35.27,7050.37,5.14,12.92,12.48,15.73,132.61,7.22,5.67,41.78,29.76,8.67,37.53,7.78,47.35
120,0,2116.84,96.91,38.64,9.32,381.55,0,2.25,34.05,88.41,34901.05,4.72,17.62,3.87,5.68,0,97.09,1.51,328.51,21.2,22.61,48.63,4267.96,13.48,9.62,5.75,17.18,59.47,15.71,0,55.33,19.71,3.67,30.47,38.91,314.08
