stage,blastomeres,epidermis,immune,lateral_line,liver,mesenchyme,neural,olfactory,periderm,pronephros
  5-6,11.16,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.62,0,0,0
 24-34,0,0,0,0,0,0.79,0,0,0.93,0
 48-58,0,0,0,0,4.43,0,0,0,0,0
 60-70,0,0,0,0.67,0,0,0,1.12,0,0
 84-94,0,0,0,0,0,0,1.52,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.41,0.67
108-118,0,0.43,0.89,0,1.91,0,1.67,0,0.94,0
120,0,0,0,0,0,1.22,0,0,1.23,0
