stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,7.56,0.86,0,1.81,0,5.73,0,1.33,0,5.67,0,0,0,0,0,0,1.13,0,0,0,55.52,68.08,15.8,0,0,2.64,0,5.42,0,4.32,0,7.87,3168.54,21.59,0,0,2.14,0,0
 24-34,0,1.7,4.38,255.2,42.84,0,420.28,14771.21,23.55,7.42,66.55,12.78,7.89,28.41,36.36,20.28,6.06,19.25,56.25,29.99,417.87,18.74,6.38,2960.22,6683.2,72.56,40.74,31.06,0,0,481.79,0,3.42,30.01,40.2,3090.02,701.87,0,0,279.59,0,40.03
 36-46,0,3.43,1.19,266.13,30.11,0,809.55,38708.6,73.32,20.06,194.72,11.42,2.19,15.7,54.08,43.04,14.97,7.37,84.98,102.52,523.22,4.47,10.03,2596.55,5989.66,98.88,35.72,43.17,0,7.18,580.8,0,2.1,18.87,32.33,151.54,1110.02,0,2.7,165.07,0,144.44
 48-58,0.97,0.61,0.85,311.92,104.71,0,4812.03,38147.04,79.51,80.88,1037.58,18.53,10.99,47.68,85.63,50.61,36.05,28.34,88.04,269.6,1690.09,21.77,58.23,2978.77,14882.67,161.26,64.52,87.99,0,2.9,507.31,0,0.92,24.59,38.06,0,2790.66,0,2.83,205.47,2.48,808.16
 60-70,0,2.25,0,410.24,150.26,0,6087.59,28996.18,177.03,110.13,981.36,41.66,22.59,40.07,130.19,35.29,70.89,29.65,55.09,84.1,1777.23,33.25,81.23,2829.28,10828.47,95.72,63.18,90.76,88.14,2.5,635.56,0,5.3,53.01,58.47,0,1421.51,3.52,25.65,176.99,6.29,620.53
 72-82,0,11.18,3.31,249.02,393.64,7.94,6245.15,15819.98,59.66,169.35,909.31,45.15,5.19,34.4,160.29,21.83,83.32,31.74,187.95,104.07,2039.18,37.83,106.12,1584.36,9310.88,41.75,83.31,80.6,8.02,22.71,440.92,1.65,0,26.13,26.85,0,953.84,43.41,32.49,365.15,49.16,744.12
 84-94,0,38.09,2,467.51,975.39,21.12,6038.76,22404.42,92.64,111.79,1052.88,100.11,8.34,30.02,157.62,45.8,175.02,26.24,109.33,117.28,2224.62,54.99,98.8,1929.67,8454.11,64.17,132.78,111.58,0,31.21,1198.39,0,0,22.17,22.15,0,1023.73,42.58,34.52,322.46,83.91,477.77
 96-106,1.12,41.36,1.07,889.99,2332.95,94.9,10894.39,36390.76,194.86,282.8,2100.31,196.21,1.06,62.42,273.99,105.13,164.5,85.12,753.29,103.41,4173.43,179.09,153.14,1979.28,13426.15,52.98,160.05,187.41,3.61,102.14,1924.02,8.85,0,28.8,50.5,0,637.88,112.59,71.37,780.73,123.96,929.9
108-118,0,12.8,0.61,762.84,654.35,163.83,7169.94,25263.48,153.4,120.52,1268.44,191.11,0,77.14,176.36,78.28,205.09,45.07,362.69,123.99,3372.09,130.19,150.85,3685.94,10697.34,56.1,74.77,128.37,8.11,108.37,1407.21,0,0,39.89,16.15,0,345.96,42.67,101.19,556.81,85.65,453.38
120,0,1.37,0,685.59,725.31,18.47,4485.02,16814.61,81.33,118.04,1242.57,97.57,0,46.32,212.15,45.93,88.16,21.25,278.34,122.54,2257.05,17.22,101.5,3919.52,8366.41,44.45,111.73,78.43,0,92.61,594.8,0,0,34.55,23.7,0,215.73,28.17,98.94,291.1,122.43,210.3
