stage,axial,blastomeres,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,periderm,pgc,pronephros,vasculature
  3-4,13.45,21.71,0,0,0,0,0,0,0,25.43,0,0,0
  5-6,0,12.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.96,0,0,0,0,0
 14-21,0,0,2.31,0,0,1.05,0,0,0,0,0,0.9,0
 24-34,0,0,0,0.68,0,0.82,0,0,0,0,0,0,1.67
 48-58,0,0,0,0,0,0,1.09,0,0,0,0,0,0
 60-70,0,0,0,1.63,0,0,0.87,0,0,0,0,0,0
 72-82,0,0,0,14.11,0.5,0.79,1.38,0,0,0,0,0,0
 84-94,0,0,0,24.82,1.81,0,2.15,0,0,0,0,0,0
 96-106,0,0,0,7.47,0,0,1.43,0,0.69,0,1.35,0,0
108-118,0,0,0,24.89,4.88,0,1.05,0,0,0,0,0,0
120,0,0,0,14.25,4.13,0,7.82,0,0,0,0,0,0
