stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.4,483.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,284.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.96,21.17,0,52.17,0,5.98,0,111.97,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,768.37,20.49,0,0,335.57,0,3.26,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,15.59,0,64.66,0,6.05,0,50.76,0,0,0,0,0,27.98,0,0,0,0,0,0,0,0,0,0,0,853.45,7.45,0,0,356.52,0,0,15.92,0,57.66,0,0,0,0,0,0,0
 14-21,0,0,0,8.64,34.13,4.91,0,25.32,0,0,0,4.32,4.03,0,0,0,0,0,0,0,0,23.37,0,0,14.35,317.04,4.82,1.37,3.87,2.23,0,14.12,2.22,36.41,1,0.81,29.69,80.31,0,2.89,0,0
 24-34,0,0,0,1.55,16.05,0.78,0,53.03,0,0.62,0.68,7.3,0.66,0,2.77,4.53,2.86,0.7,0,0.84,0,46.57,0,0,13.62,569.71,3.16,5.18,2.58,0,0,22.29,0,0,0,0.95,2.66,113.46,0,14.74,0,1.01
 36-46,0,0,0,0,5.37,0,0,73.19,0,0,0.62,8.76,0,0,0.65,13.59,0,2.99,0.61,0.57,0.77,16.83,0,1.06,17.83,324.25,0.64,3.75,0,0,0,8.72,0.78,0,0,0,0,60.02,0,2.78,0,9.34
 48-58,0,0,0,0,7.61,0,0,112.66,0,0,0.88,20.3,0,0,0,0,0,0,0,0,1.35,24.53,0.52,9.57,6.18,169.31,5.02,0.78,0,0,0,0.66,0,0,0,0,0,19.76,0,5.36,0,1.32
 60-70,0,0,0,0,2.44,1.4,0,90.51,0,0,3.25,21.25,1.33,0,0,0.65,0,0.63,0.73,0,0,29.66,0,2.45,4.38,134.21,0,0.89,1.2,0,0.71,4.05,0,0,0.6,0,0,8.66,0.79,2.36,1.92,0
 72-82,0,0,0.91,0,0.61,0.79,0,65.29,0,0,0,16.38,1.01,0,0,1.71,0,0,0,0,0,40.88,0,1.3,5.7,102.14,0,0.56,3.51,0,0,2.36,0,0,0.65,0,0,18.61,3.83,5.07,0,9.6
 84-94,0,0,0,0,13.7,8.15,0,47.24,0,0,3.93,6.49,0,0,0,1.36,0,2.36,0,0,0,14.1,0,2.67,2.7,100.6,2.69,2.81,1.46,0,1.66,7.78,0,0,0.74,0,0,9.41,2.16,8.24,0,0
 96-106,0,0,0.83,0,5.06,4.65,0,51.93,0,0.84,1.51,11.26,0.77,0,0,0,1.22,0.71,0.58,11.45,0,52.68,0,0.63,7.59,81.57,0,0,1.35,0,0,14.84,0,0,0,0,0,0,2.45,6.86,0,0
108-118,0,0,0,0,10.86,1.07,2.3,67.25,0,2.13,1.89,23.63,0,0,1.01,1.57,0,0.51,0,4.07,1.02,43.2,0,5.53,4.99,133.99,1.29,1.73,1.75,0,0,12.47,0.42,0,2.1,0,0,13.34,0,3.09,0,0.65
120,0,0,0,0,21.31,1.38,0,17.11,1.18,1.01,0,4.95,0,0,0,6.92,0,3.04,0,0,0,38.9,0,5.16,3.51,111.48,1.18,4.42,15.8,0,0,1.63,0,0,0,0,0,0,0,14.87,0,0
