stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,6.61,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,10.35,0,0,0,3.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.08,0,1.72,0,0,0,1.6,0,0,0,0,0,0,0,0,1.32,0,0,4,201.08,1.19,0,0,1.88,0,0,0,0,17.28,3.35,180.46,0,0,0,0,0
 24-34,0,0,0,9.88,0,0,26.05,1.37,0,0,3.7,0.64,1.22,0,0,0,0,2.36,0,15.14,0,0,8.01,3022.64,0,14.63,2.48,0,0,3.02,0,6.19,9.8,3.16,705.02,0,0,8.65,0,0
 36-46,0,0,0,4.11,0.88,0,92.2,17.42,1.68,1.14,15.57,0,4.56,4.03,0,0,0,0,2.39,11.91,0,0,3.69,7191.24,3.36,20.85,0,0,0,10.52,0.81,0,23.91,1.98,1142.7,0,0,0.91,0,1.39
 48-58,0,0,0,31.8,4.47,0,1148.33,19.85,4.24,1.58,68.92,0,3.38,1.82,0,2.29,0.91,4.36,16.67,53.2,0,4.12,16.55,10482.81,0.45,15.73,1.56,0,0.56,12.37,0,0,28.95,0,1418.38,0,0,19.24,0,14.86
 60-70,0,7.57,0,19.67,3.79,0,4593.95,11.04,0.59,33.25,97.85,0.63,0,0,0,8.93,0,0,0,80.94,3.03,0,7.57,13295.66,6.31,8.02,0,0,0,26.48,0,3.67,8.95,0,1370.5,0,0.57,9.81,0,16.11
 72-82,0,0,0,80.49,19.46,1.04,8198.71,14.27,10.76,20.44,201.43,9.62,3.82,6.71,3.83,8.49,1.05,1.38,0,121.96,3.58,6.33,9.93,12247.66,1.25,17.38,4.12,0,3.89,13.5,0,1.96,8.17,0,1027.31,0.56,7.66,17.7,3.2,87.41
 84-94,0,1.53,0,74.38,13.58,10.69,5645.75,9.32,2.23,3.87,241.4,3.67,1.27,8.28,1.23,12.2,1.75,9.26,0,153.97,5.44,8.19,6.65,8169.94,1.22,5.07,5.41,0,4.73,19.58,0,0.73,4.16,0,675.39,1.79,4.99,19.27,6.19,4.19
 96-106,0,0.99,0,66.9,51.8,11.07,6747.09,7.7,6.45,0,243.5,3.7,2.84,6.16,0.74,3.35,1.97,21.14,0,137.33,3.49,9.84,4.88,6663.84,2.63,7.48,3.51,0,5.16,25.82,0,0,10.61,0,318.05,2.26,3,17.57,3.33,3.25
108-118,0,0,0,78.94,1.13,0.56,5069.12,4.59,0,5.58,190.02,5.43,3.15,1.25,1.86,2.68,2.21,5.4,0,115.25,0,0,19.53,9379.1,6.81,20.22,2.59,0,0,11.99,0,1.48,4,0,284.77,1.35,1.88,11.22,4.79,0.59
120,0,1.22,6.35,72.88,2.03,0,3855.87,22.94,2.55,6.31,249.94,19.88,4.92,21.32,2.26,4.97,0,17.22,0,140.27,1.49,0,26,13660.18,2.89,18.94,17.21,0,2.63,13.33,0,1.75,0,0,326.53,0,1.51,5.39,6.37,15.67
