stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.81,0,0,0,0,0
 24-34,0,3.26,0,0,4.37,0,0,0,0.63,0,0,0,0,0,0,0,0.91,0,0,0,156.14,0,0,0,0.87,0.8,0.69,0,0,0,0,0
 36-46,0,4.62,0,0,3.31,0,0,0,0,0,0.73,0,0,0,0,0,2.73,0,0,0,627.32,0,1.95,0,0,0,6.03,0,0,0,0,0
 48-58,0,1.29,0,0,26.21,0,0,0,1.64,0,0,0,0,0,0,0,8.88,0,0,0,1360.94,0,1.98,0,1,0,8.43,0,0,0.77,0,3.42
 60-70,0,0,0,0,67.98,0,0,0,0.82,0,0,0,0,0,0,0,21.74,0,0.89,1.47,3102.58,6.52,0.89,0,1.68,0.64,38,0,0,0,0,4.87
 72-82,0,15.17,0.64,0,238.63,0,2.52,1.56,24.85,0,0,0,2.8,0,0,1.89,38.21,0,0,1.28,5839.09,0,2.27,0.75,0,0,82.58,1.96,0,0,0,5.55
 84-94,0.7,18.54,2.57,0,276.41,0,5.25,8.29,47.79,0,0,1.17,0,0,0,2.81,55.78,0,2.99,1.54,5132.05,0,1,0.69,13.8,0,52.57,16.89,0,0,2.86,16.05
 96-106,0,20.68,4.32,0,331.75,0.69,2.53,6.96,43.34,2.5,4.24,2.26,13.62,0.92,1.25,0,39.05,3.31,1.85,0,5842.17,0,2.35,0.63,8.71,0,49.61,4.47,0.88,1.95,0,0
108-118,0,38.63,5.74,0,298.56,0,0,1.42,28.15,1.34,0,0.41,7.9,0,0,0,69.4,0,0,0,7904.61,0,4.21,2.83,13.73,0.73,96.93,11.85,0,2.14,0,0
120,0,45.53,0,28.01,364.01,0,1.42,26.89,53.06,0,4.75,0,15.57,0,2.1,0,35.15,4.3,0,2.57,10742.07,0,3.57,0,0,2.25,60.65,3.39,0,0,0,4.74
