stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,27.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,0,0.83,0,0,0,0,0.84,0,0.85,0,0,0,0,0,0.91,0,0.98,2.16,0,0,1.01,0,0,0,7.87,0,1.05,2.09,6.82,0,0,0
 24-34,0,0,1.29,0,0,0,0.68,1.02,1.59,0,0.67,0,0,0,0,0,2.2,0,0.62,5.66,0.62,2.22,0,0,7.28,0,0,0,0,1.45,4.62,0,0,1.37
 36-46,0,0,0,0,0,0.67,0,0,0,0,3.54,2.68,0,0,0.6,0,1.48,0,0.74,11.4,4.65,0,0,0,13.15,0,0,0,0,0,0,0,0,1.38
 48-58,0,0,0.71,0,2.99,0,0.49,0.64,0.59,0,1.07,0,0,0,0,0,12.37,0,0,19.44,4.52,0,0,0,13.55,0,0,0,0,0,2.01,0,0,2.96
 60-70,0,0,0.7,0,0,0,0,4.12,4.07,0,0,1.87,0,0,0,0,56.54,0,1.08,6.24,2.57,0,0,0,4.85,0,0,0.62,0,0,7.95,0,0.6,0
 72-82,0,0,0.77,0,0.65,0,0,0.78,8.44,1.7,1.78,7.74,0,0,0,0,58.93,0,0,20.49,0,0.53,0,0,11.49,0,0,0,0,0,0,0.8,0,10.66
 84-94,0,0.84,7.77,0.71,3.29,0,0,2.37,12.73,6.78,0,14.1,0,0,0,0,88.83,0.89,7.29,20.08,1.4,0,0,0,20.08,0,0,0,0,0,0,4.72,0,5.1
 96-106,0,0,2.12,0,0.6,0,0,0,4.68,0.62,7.87,10.34,0.83,0,1.02,0,60,0,1.87,10.87,0.71,1.92,0,1.44,26.73,3.39,0,0,0,0,0,0.61,0,11.36
108-118,0,0,10.56,1.37,4.48,0,0,0,12.21,0.82,2.18,16.03,1.16,1.03,0,0.6,50.96,0,3.56,13.87,0.43,1.19,0,0,12.51,0,0,0,0,0,0,0.44,0,16.66
120,0,0,0,7.49,0,0,1.01,11.2,11.57,8.42,6.41,31.16,0,0,0,0,51.59,0,0,10.11,1.08,0,0,0,15.16,0,0,0,0,0,0,1.47,0,19.92
