stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,7,0,0,0,0,0,0
 14-21,0,0,0,0,11.53,0,0,0,0.86,0,0,0.95,2.73,0,0,2.9,19.41,0,0,0,0
 24-34,0,1.28,0,21.41,6.5,0,0,0,0.7,0,0,0,9.21,0,0,0,21.19,0,0,0,0.91
 36-46,0,0,0,13.17,1.69,0.71,0,1.21,0,0,0,0,24.34,0,0,0,31.44,0,0,0,0
 48-58,0.53,0,0,94.2,6.8,0,0,0.4,0,0,0,0,58.75,0,0,0,31.44,0,0,0,0
 60-70,0,0,0,254.88,3.91,0,0,0,0,0,0.62,0,135.56,0,0,0,8.19,0,1.22,0,0
 72-82,0,0,0,510.54,6.52,0,0,0,5.64,0,0,0.66,191.81,0,0,0,8.91,0,0,0,0
 84-94,0,1.23,0,361.1,4.88,0,0,7.61,2.68,0,0,0,154.19,0.62,0,0,0,0,0,0,0
 96-106,0,3.05,0,388.04,12.42,0,0.96,0,0,1.07,0,0,177.35,0,0,0,1.76,0,0,0,0
108-118,0,6.63,1.89,380.41,21.38,0,0,0.51,1.87,0,0,0,163.22,0,0,0,0,0.89,0,0.57,3.17
120,0,7.64,0,391.01,27.92,0,0,0,4.41,0,0,0,261.41,0,0,0,0,0,0,0,0
