stage,axial,blastomeres,epidermis,eye,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,17.61,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.55,0,0,3.16,0,0,0,0,0
 14-21,0,0,0,0,0.96,0,1.36,0,0,5.13,0,0,0,2.49,0,0,0,0
 24-34,0,0,0,0,0,0.68,5.54,0,0,12.36,0.77,0.71,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.58,0,0,0.58,55.43,0,0,0,3.04,0,0,0,0
 48-58,0,0,0.38,0,0,0,0,0,0,2.9,0,0,0,0,0.69,0,0,0
 60-70,0,0,0,0,0,0,0,0.84,0,1,0,0,0,0,0,0,0,0
 72-82,0,0,0.76,0.57,0,0,0.54,0,0,0,0,0,0,0,0,0.75,0,0
 84-94,0,0,0,0,0,0,0,0.85,0,0.63,0,0,0,0,0,0,6.14,0
 96-106,0,0,0,0.8,0,0,15.92,0,0,3.9,0,0,0,0,0,0,0,0
108-118,0,0,1.19,1.82,0,0,2.34,0.92,0,4.14,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,5.9
