stage,glial,mesenchyme,neural
 24-34,0,0,0.83
 36-46,0,0,2.49
 48-58,0,0,1.2
 60-70,0,0,1.08
 72-82,0,0,13.19
 84-94,0,0.56,0.75
 96-106,2.31,0,1.16
