stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.15,493.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,173.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.32,0,0,0,19.45,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,137.72,0,0,0,45.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.44,0,0,0,18.51,0,0,0,0,0,4.02,0,0,0,0,3.73,0,0,0,0,203.75,15.57,0,0,108.77,0,0,0,0,19.82,0,0,0,0,0,0,0
 14-21,0,0,0.87,7.51,2.71,0,8.6,0,0,0,1.23,0,0,0,0,0,0,0,0,5.27,0,7.41,70.63,1.54,0.95,1.9,1.02,0,0.83,0,13.22,0,3.17,25.21,11.54,0,0,0,0
 24-34,0,0,0.73,3.93,0,0,11.82,0,0.71,0,3.18,0,0.66,0,0,0,3.2,0,0,4.01,0,3.66,125.09,0,1.5,1.68,0,0,8.78,0,0,0,0,1.27,7.77,0,0,0,0
 36-46,0,0,0,1.24,1.18,0,19.88,0,0,2.19,0,0,0,0,0.64,0,0,0,6.19,6.68,0,3.5,107.87,0.56,1.63,0,0,0,7.94,0.74,0,11.2,0,0,19.95,0,2.68,0,0
 48-58,0,0,0,0.57,0,0,39.69,0,0.44,0,19.35,0,0,0.88,0,0,0,0,0,19.87,0,1.61,79.44,0,1.1,12.18,0,0,0,0,0,0,0,0,21.16,0,0.75,0,0
 60-70,0,0,0,0,0.78,0,91.41,0,0,3.17,6.05,0,0,0,0,0,0.77,0,0,16.84,0,2.16,80.55,0,0,3.11,0,0.71,5.47,0,0,0.58,0,0,21.39,0,0,0,0
 72-82,0,0,0,0,9.19,0,67.54,0,0,0,13.44,0,0,0,0,0,8.04,0,0,9.53,1.3,1.66,87.34,0,4.5,1.24,0,0,3.3,0,0,0.64,0,0,12.24,0,1,0,0
 84-94,0,0,0,6.42,5.65,0,32.96,0.67,0,0.62,2.77,1.25,0,11.43,0.86,0,3.54,0,0,19.48,0,0,67.56,0,0,1.65,0,0.57,14.13,0,0,0,0,0,0.74,0,2.98,3.29,6.75
 96-106,0,0,0,2.94,0,0,26.35,0,0,1.14,3.83,0,0,0,0.75,0,0,0,0,7.85,0,7.23,59.76,0,0,3.87,0,0,9.32,0,0,0.71,0,0,0,0,2.4,0,0
108-118,0,0,0,2.13,4.37,4.45,28.32,0,0.42,0,9.46,1.42,0,0,0.47,0.59,0.64,0,0,8.36,0,4.2,66.82,0,0.46,0,0,0,6.81,0,0,1.69,0.41,0,0,6.37,0.77,1.11,0.79
120,0,0,0,7.04,1.98,0,41.12,0,0,0,2.94,0,0,0,4.88,0,0,0,0,64.32,0,2.23,115.39,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0
