stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,10.66,268.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,0,0,0,0
  5-6,8.02,54.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,3.53,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,5.52,13.61,0,9.68,0,0,0
 14-21,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.28,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,2.28,0,0.73,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0.72,0,0.6,0,0,0,0.61,0,0
 48-58,0,0,0,0.47,0,0,0.85,0,0,0,0,0,0,0,0,0,5.99,0,8.19,0,0.46,0,0.55,0,0
 60-70,0,0,0,0,0,0,4.05,0,0,0,0,0.6,0,0,0,0,3.63,0,1.51,0,0,0,1.28,0,11.22
 72-82,0,0,0,2.18,0,0,0.67,0,2.81,1.04,0,0,0,0,0,6.16,3.93,0,6.65,0,0,0,0,0,0
 84-94,0,0,0,0,0.98,1.39,1.69,0,0,0,0,0,0,0.56,0,0,8.57,0,0,0,0.77,0,0,3.12,0
 96-106,0,0,0,1.48,0,0,0,1.4,8.25,4.16,0,1.98,0,0.58,0,0,6.1,0,0.72,0,0,0,0,0,0
108-118,0,0,0,0,2.63,1.84,0,0,5.2,1.66,0,0,0.65,0.45,0,0.42,3.8,0.44,1.63,0,1.81,0,0,0.72,0
120,0,0,0,1.25,0,0,0,0,10.48,4.08,0,0,0,0,0,0,13.07,2.93,2.06,0,4.84,0,0,8.54,0
