stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,11.11,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0
 14-21,0,3.1,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.93,0,0,0,0,30.32,0,0,0,0
 24-34,0,1.46,5.91,0,0,2.51,0,0,0,0,0,0,0,0,0.65,0,0,0,235.5,12.59,0,0,0,76.14,0,0,0,0
 36-46,0,0,1.3,1.49,0,30.04,0,1.39,0,3.29,0,0,0,0,0,0,0,0,570.16,16.94,0,0,0,128.96,0,0,0,5.23
 48-58,0,0.54,0.54,0,0,79.23,0,0,0.41,22.71,0,0,11.64,0,2.53,0,0,0.55,856.23,5.61,0,0,1.14,117.29,0,0,0,4.99
 60-70,0,0,3.93,0,0,268.71,0,0,0,5.44,0.63,0.65,1.28,0,0,1.76,0,0,984.83,3.91,0,0,1.16,124.12,3.21,0.61,0,4.93
 72-82,0,1.78,3.54,0.95,0,251.57,0,0,0,22.56,0,0.65,0,1.89,8.91,0,1.04,0.56,870,13.47,0.54,2.26,3.95,68.6,0,0,0.7,0
 84-94,0,0,6.51,0.88,0,158.31,0,0,0,12.19,1.31,0,0,5.31,5.42,0,0,0.74,445.31,4.39,0,0,0.9,27.26,0,0,0,2.02
 96-106,0,3.2,5.37,6.59,0,152.59,0.73,0,0,2.12,1.43,0.79,0,0,14.16,0,0,0,344.59,4.72,0,0,3.96,21.76,0,0,2.54,0
108-118,0,0.41,2.02,0,1.72,172.68,0,0,0.93,20.76,0,0,0,0,13.66,0,0,1.98,516.7,5.15,0,0,0,13.9,0,0,2.74,0.91
120,0,0,1.39,0,3.69,182.55,0,0,0,60.3,0,3.74,0,9.24,26.62,0,0,2.62,677.7,30.35,0,0,0,47.22,2.83,0,9.88,4.42
