stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,taste,vascular_smooth_muscle,vasculature
  5-6,13.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0
 72-82,0,1.52,0,0,0,421.7,0,0,0.88,0,889.88,0,4.73,1.23,0,12.4,0,4.5,0,0,0,0,0,0
 84-94,0,6.34,1.76,0,9.94,0.69,0,0,0,0,2590.21,10.1,0.85,0,0,5.46,0,0,0,2.86,0,321.62,0,0
 96-106,0,2.62,30.54,0,9.99,0,0,0.75,13.32,1.05,52.34,0,5.68,0,0,17.08,0,0,0,7.87,0,0,4.06,0
108-118,0,2.66,4.61,0,0,0,0,0,0.47,2.87,1706.03,0.47,9.84,0,0,44.14,0,2.53,0,5.2,0.47,0,0,3.14
120,0,2.85,0,2.68,11.98,0,2.77,0,0,3.13,2669.67,0,0,0,1.54,13.88,14.01,0,0,0,0,0,0,0
