stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,63.76,1368.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.61,0,0,0,0,0,0,0,0,0,0
  5-6,181.55,2924.07,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.46,25.05,0,0,21.16,0,104.98,0,0,0,0,0,0,0,0,0,0
  7-9,31.75,207.49,0,334.44,0,11.97,0,412.93,0,0,0,0,0,254.27,0,0,0,0,0,0,0,0,0,0,0,5352.04,65.77,0,0,2195.5,0,15.58,4.77,0,12.75,0,0,0,0,0,0,0
 10-12,0,155.15,0,345.18,0,11.2,0,465.99,0,0,0,0,0,43,0,0,0,0,0,7.47,0,0,0,0,0,6162.42,68.94,0,0,2002.23,0,15.9,18.5,0,331.29,0,10.09,10.3,0,0,0,0
 14-21,2.31,0,0,35.86,306.27,88.2,0,197.73,0,0,0,81.09,13.39,0.89,1.57,0,24.75,0,2.54,0,0,133.7,0,0,110.59,2913.53,18.33,82.69,39.14,127.81,0,100.11,0,142.85,9.58,0,208.55,881.22,0,17.98,0,0
 24-34,0,0,0,5.29,51.5,22.1,0,690.53,0,0.7,2.15,59.45,3.64,0,4.91,1.68,13.76,1.49,6.1,0,0.62,219.93,0.77,2.12,80.81,3037.95,6.2,85.73,27.18,0,1.98,65.99,0,3.08,14.08,12.19,10.02,517.66,0,35.97,0,0.78
 36-46,0,0,0,0,48.31,9.57,0,1296.61,0,6.59,0,50.58,1.69,0,6.59,0.68,4.91,0,3.36,5.2,0,223.12,0,8.66,73.04,2079.98,0.59,46.4,8.79,0,0,21.71,0,2.63,13.64,0,0,352.04,0,8.05,0,3.93
 48-58,0,0,0,0.8,24.84,3.2,0,956.33,0,8.49,5.66,58.21,0.4,0,1,0,1.55,2.46,2.69,6.33,0,168.03,0,6.28,40.56,751.21,0,22.2,14.09,0,0.64,9.6,0.84,0,0.61,0,0,87.4,0,13.69,0,6.44
 60-70,0,0,0,0,43.52,0,0,573.46,0,0.67,2.68,66.52,12.56,0,0,8.18,0.8,5.9,7.4,0,0,110.97,0,3.2,14.14,431.82,1.44,12.94,0.76,0,0,11.7,0,0,1.18,2.06,0,22.57,0,17.17,0.59,0
 72-82,0,0,0,0,26.95,1.84,0.76,153.83,0.88,1.26,3.31,37.12,2.15,0,2.15,0.7,1.4,0,3.68,2.49,0.49,86.56,0,3.53,13.14,221.64,1.43,9.79,4.63,0,0,15.63,0,0,2.1,0,0,1.7,0,5.05,0.77,0
 84-94,0,0,0,0,40.18,4.25,0,160,0,0.64,3.14,22.83,1.73,0,0,3.5,3.75,0.76,0,2.03,0.67,101.82,0,4.42,24.77,209.04,0,7.25,3.3,0,0,1.81,0,0,0,0,0,1,0,13.6,1.77,0
 96-106,0,0,0.85,0,6.44,13.42,0.89,96.52,1.46,0.69,1.74,42.4,5.27,0,0,2.9,2.28,0,0.62,0,0,49.69,0,2.88,8.03,142.98,0,32.2,3.73,0,0,4.57,0,0,1.88,0,0,0,0,3.78,1.48,0
108-118,0,0,0,0.44,16.38,6.53,0.53,126.48,0,0,4.97,35.53,2.6,0,0,3.7,3.92,1.21,0.6,0,0,57.14,0,0.94,15.97,248.25,1.74,7.28,7.74,0,0.95,4.43,0,0,1.8,0,0,9.77,1.61,8.59,0,0
120,0,0,0,0,15.5,13.44,0,123.33,0,0,1.66,14.22,0,0,0,11.28,1.45,0,1.84,4.16,0,33.81,0,3.51,14.49,142.78,0,7.77,1.02,0,4.59,3.6,0,0,0,0,0,1.57,0,3.36,2.31,0
