stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,60.19,1.47,6.48,234.15,78.73,67.75,0.87,0,30.07,3.85,40479.86,2.65,3.25,4.89,1.37,0.93,3.71,3.66,114.98,0,0,48.83,1204.98,95.88,0.87,5.3,38.76,68.71,0.9,152.77,5.34,15.47,176.8,411.3,7.06,0.91
 24-34,0,0,1,168.05,16.17,251.32,4.72,3.8,41.25,5.7,16966.49,7.9,9.56,11.4,0,7.36,53.98,28.45,213.53,2.11,2.04,128.31,3013.99,41.14,26.44,26.34,0,237.19,0,0,12.85,47.44,37.6,519.68,98.62,1.96
 36-46,0,0,0,12.57,2.35,64.15,0,0,9.13,0,11244.05,1.51,2.68,5.92,0,2.26,7.36,7.12,92.03,1.96,0,14.33,906.01,3.53,5.55,7.62,0,61.63,0,0,8.19,0.93,0.83,75.34,15.57,11.61
 48-58,0,0,0,8.57,1.12,55.48,0,2.48,5.81,0,5836.8,0.69,0,1.39,0,0,0,0,21.72,0,0.75,3.45,162.22,0,0.58,3.49,0,7.92,0,0,0,0,0,35.7,1.84,18.22
 60-70,0,0,0,8.04,0,16.8,0,0.8,2.13,0,755.68,0,0,0,0,0.77,0,0,21.77,0,0,0,50.49,0,0,16.13,0,4.86,0,0,0,0,0,1.62,0.6,10.08
 72-82,0,0,1.49,3.91,0,9.38,0,0,1.9,0,32.44,0,0,0,0,0,0,0,12.53,0,0,0,12.57,0,0,27.68,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.03,1.22,0,0,0,1.31,5.66,0,72.27,0,0,0,0,0,0,0,10.19,0,0,0,5.45,0,0,38.57,0,0.59,0,0,0,0,0,4.12,0,0
 96-106,0,0,0,1.5,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,7.29,0,2.28,0,12.24,0,0,6.69,0,2.64,0,0,0,0,0,0,0,0
108-118,0,0,8.75,2.82,0,0.75,0,0,0.77,0.54,0,0,1.47,0,0,0,0,0,4.56,0,0,0,17.31,0.5,0,19.96,0,0,0,0,0,0,0,0,0,0
120,0,0,2.55,5.48,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,15.33,0,0,0,0,0,0,0,0,0,0
