stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.16,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.66,0,0,24.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.81,0,0,0,0,1.17,0,1.3,12.32,0,0,0,0,24.61
 24-34,0,0,0,0,1.7,0,0,0,0,0,9.12,0,0,0.78,0,0,9.85,0.9,0,0,0,0,0,0,0,1.14,0,0,0,255.27
 36-46,0,0,0,0,0.57,0,0,0,0,0,1.32,0,0,0.67,0,0,3.79,0,0,0,2.51,0,1.21,0,0,0,0,0,0,483.06
 48-58,0,0,2.6,0,3.9,0,11.62,0,0,0,0,0,0,6.12,0,0.42,31.37,4.6,0.62,0,0,0,0,0,0,2.77,0,0,0,703.03
 60-70,0,0,0,3.32,3.64,0,92.08,0,0,0,8.99,0,0,6.2,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,778.96
 72-82,0,0,0,0,16.21,0,465.63,0,0.58,4.56,2.35,0.65,0,10.29,0,0,24.35,0,0,0,0,0,0,0,0,0.96,0.81,0,3.2,553.54
 84-94,0,0,3.49,0,20.47,0,416.03,1.02,0,0,1.1,0,0,10.18,0,0,30,0,0,0,0.77,0,0,0,0,0,0,1.37,0,434.75
 96-106,0,0,3.32,0,41.19,0.57,550.04,0,2.38,1.21,0,0,0,6.66,1.02,0,17.54,0,0,0,0,0,0,0,0,3.08,0,0,6.42,529.93
108-118,0,0,0,4.22,7.73,0,534.46,5.85,0,0,0,0,0.44,4.68,0,1.26,29.21,0,0.94,0,0.82,0,0,0,0,0,0,0,0,490.39
120,0,0,0,0,20.37,0,601.34,0,0,0,0,0,0,2.51,0,1.28,28.15,3.89,0,0,0,0,0,0,0,9.32,0,0,0,160.45
