stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow_muscle,spinal_cord,xanthophores
  3-4,12.63,69.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.65,0,0
 24-34,0,0,0,0,0,1.16,0,0,2.04,1.17,0.64,0,0,1,8.09,1.76,0,0.79,118.52,2.57,0
 36-46,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,9.44,0,0,0,123.47,0,0
 48-58,0,0,0,0,0,1.88,0,0,0,0,0,0,1.03,0,8.78,0,2.56,0,93.13,2.08,0
 60-70,0,0,0,0,0,1.24,0,1.87,0,0,0,0,0,0,3.34,0,0,0,42,2.54,0
 72-82,0,0,0,0,0,3.11,0,0,8.12,0,0,0,0.5,0,0.81,0,0,0,31.79,0,0
 84-94,0,0,0,0,1.41,6.41,0,0,1.38,0,0,0,4.62,0.92,0.91,0,4.39,0,48.55,0,0
 96-106,0,0,0,1.37,0,0.81,0.9,0,2.17,0,0,0,5.57,1.72,15.12,0,0.66,0,65.4,5.43,9.75
108-118,0,0,0,1.1,0,3.66,0,0,0,0,0,3.88,1.11,0.98,16.3,0,0,0,54.17,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,14.98,0,0
