stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,139.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.01,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,24.29,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.15,0,0,0,14.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24.91,0.95,3.59,0,0,0,1.34,3.02,0,0,0,0,0,15.53,0,0,20.92,37.67,1.01,0,0,0,0,5.51,1.41,1.88,22.01,22.73,0,0,0,0,0
 24-34,0,0,0.62,7.69,0,3.64,0,1.49,0,3.38,0,0.62,0,0,0,0.64,16.24,0,0,2.47,69.16,0.61,1.4,2.22,0,0,3.72,0,1.12,6.03,18.86,0,0,1.86,0,0
 36-46,0,0,0,2.5,0,19.45,0,1.75,0.56,5.82,0,0,0,0,0,1.79,28.39,0,0,3.26,68.31,1.18,5.57,1.62,0,2.85,2.87,0,0,0,26.69,0,0,4.48,0,0
 48-58,0,0,0,2.28,0.4,193.09,0,0.93,0.84,11.63,0.82,0,0,0,0,0,20.76,0.52,1.42,1.79,100.7,0.51,0,7.63,0,0,0,0,0,0,23.76,0,1.28,4.57,0,2.73
 60-70,0,0,0,0,0,399.2,0,8.02,0,15.7,0,0,0,0,0.81,2.29,26.96,0,0,0,109.87,3.06,0,2.01,0,0,6.18,0,0,0,26.35,0,1.52,0.67,0,0
 72-82,0,0.5,0,1.31,6.04,243.88,0,0,1.12,12.96,0,0.6,0,0,0,0.74,48.78,0,2.36,2.27,104.92,0,0,1.19,0,0,1.92,0,0,0,4.11,0.88,0.5,6.06,3.15,0
 84-94,0,1.44,1,2.78,8.91,160.06,0.56,10.3,0,22.05,0,0,1.26,0.56,0,0,55.44,0,4.01,2.82,94.13,2.13,0,2.63,0,0,2.08,0,0,0,11.18,0,11.21,2.68,2.3,0
 96-106,0,0.95,0,3.56,16.87,104.68,10.06,1.59,0,8.85,1.66,1.72,0,4.91,0,4.44,21.06,0,2.29,4.22,55.18,1.23,0,3.5,0,0,14.11,0,0,0,17.34,4.97,3.79,2.26,2.86,0
108-118,0,0,0,13.09,1.65,119.64,0,0,0,6.63,0,0,0,1.66,0,0.6,50.04,0,3.12,2.54,92.31,0.99,0.57,3.8,0,0,1.07,0,0,0,1.18,0,3.09,0.63,0,0
120,0,1.73,0,5.01,1.48,67.74,0,0,1.69,2.12,0,10.68,0,0,2.62,0,57.61,0,4.29,3.01,137.46,3.13,0,0,0,0,19.32,0,0,0,0,0,0,2.09,1.96,0
