stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
 14-21,0,6.41,2.16,17.67,0,0,0.82,0,0,11.73,0,5.92,21,0,0,0,0,0,2.08,1,1.39,5.43
 24-34,0.89,1.34,0,25.75,0,0,0.9,0,1.67,2.49,0,3.83,90.89,0,0,0.65,0,0,0,0,0,6.38
 36-46,1.72,0,0,63.29,0,0,5.32,0,0,7.21,0,3.93,198.68,0,1.22,0.62,0.97,0,0,0,0,30.57
 48-58,0,3.23,0.43,46.33,0,0,8.76,0,0,11.61,0,1.78,260.25,0.55,0,0,0,0,0,0,0,14.02
 60-70,0,0,0,15.73,2.79,0,4.88,0,0,21.09,0,1.13,269.98,0,0,0.76,0,0.6,0,0,0,2.34
 72-82,0,0,0,47.48,0,0,6.29,0,0,43.48,0,2.16,782.7,0,0,0,0,0.75,0,0,0,2.13
 84-94,0,3.59,0,32.77,0,0,1.4,0,0,23.71,0,0,403.27,0.62,0,0.95,0,0,0,0,0,2.59
 96-106,0,0.62,0,28.01,0,5.77,3.04,0,0.63,32.09,3.47,0.69,642.26,0,0,0.72,0,0,0,0,0,0
108-118,0,4.11,0,10.28,0,0,6.54,0,0,30.31,1.29,4.62,860.79,0.47,0.67,0.91,0,2.15,0,0,0,0
120,0,0,0,6.91,0,0,0,3.58,0,10.1,0,0,663.67,0,0,0,0,0,0,0,0,0
