stage,blastomeres,epidermis,eye,fast_muscle,glial,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,52.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.08,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,5.69,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,1.91,33.13,4.34,0,0,10.84
 24-34,0,0,0,0,0,0,0,0,0,0,6.28,0.98,0,9.94,0,0.75,0,6.44,1.37,0,1.9,80.17
 36-46,0,0.87,0,0,0,0,0,0,0,0,4.72,0,1.17,10.51,0,0,0,6.53,0.96,0.82,1.06,161.96
 48-58,0,0,0.53,0.58,0.62,0,0.87,0,0,0,0,0.67,1,5.95,0,0.49,0,0,0,0,0,220.52
 60-70,0,0.9,6.78,0,33.3,0,0,0,0.6,0,0,0.78,0,3.19,0,0,0,0,0,0,0.75,252.14
 72-82,0,0,6.21,1.29,136.66,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,3.59,102.37
 84-94,0,0,8.64,0,141.71,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,49.24
 96-106,0,2.23,8.47,0,156.5,0,0,1.3,0,0,0,0,0,25.16,0,0,0,0,0,0,0,59.5
108-118,0,0,6.16,0,267.33,0,0,0,6.39,3.99,0,1.42,0,6.08,0,0.49,0,0,0,0,2.19,85.81
120,0,4.93,0,0,124.51,0,0,0,15.42,0,0,0,0,2.84,0,0,0,0,0,0,0,17.26
