stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,36.34,754.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0
  5-6,67.08,845.09,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,25.47,14.56,0,0,9.32,0,20.66,0,0,0,0,0,0,0
  7-9,12,23.9,0,13.93,0,0,79.26,0,0,0,0,32.36,0,0,0,0,0,0,0,525.41,20.83,0,0,146.97,0,0,0,0,0,0,0,0,0
 10-12,0,12.76,0,40.15,0,0,33.53,0,0,0,0,3.97,0,0,0,0,0,0,0,372.5,0,0,0,160.2,0,6.67,0,22.69,0,0,0,0,0
 14-21,0,0,0,2.39,15.44,2.67,4.08,0,0,0,0,0,0,1.16,0,0,9.14,0,2.07,22.5,0,0,0,0,0,2.37,7.75,0,14.18,18.69,0,0,1.85
 24-34,0,0,0,0.64,9.48,0,4.54,0,0,0,0,0,0,3.17,1.12,0.82,5.2,0,1.54,26.19,0,2.72,1.32,0,0,4.67,0,0,0,7.4,0,1.29,0
 36-46,0,0,0,0,9.94,0,0.86,0,0,2.01,0,0,0,0,0.65,0,10.43,0,0,37.2,0,0,0,0,0,6.52,0,0,0,6.35,0,0.83,1.59
 48-58,0,0,0,0,9.18,0,12.82,0,0.41,6.03,0,0,0,3.69,0,0,5.6,0,0,11.62,0,1.69,0.7,0,0,4.69,0,0,0,2.77,0,6.67,0.79
 60-70,0,0,1.1,0,11.17,1.64,4.88,6.14,1.21,0,10.05,0,0,0,0,0,0,1.83,0,7.08,0,0.67,2.01,0,0,11.53,0,0,0,0,0,0,1.82
 72-82,0,0,0.69,0,10.31,0,7.02,3.73,0,0,0,0,0,0,1.81,0,0.93,0,0,12.05,0,1.05,2.62,0,0.77,6.75,0,0.64,0,0,0,0,0
 84-94,0,0,1.46,0,0.83,2.42,12.82,0,3.15,0.96,0.68,0,0.61,0,0,0,9.98,0,0,9.47,0,0.71,0,0,0,5.74,0,0,0,0,2.8,0,0
 96-106,0,0,0,0,4.46,0,4.12,0,0,1.26,1.7,0,0,0,0,0,1.35,0,0,1.2,0,2.69,0,0,0,4.03,0,0,0,0,0.56,0,0
108-118,0,0,3.86,0,2.78,1.11,0.65,0.57,0,1.6,0,0,0,0.49,0.51,0,3.86,0.54,2.16,6.54,0,1.44,0.6,0,0,1.63,0,0,0,0,0,0,0
120,0,0,0,0,7.69,0,0,0,0,0,2.43,0,0,5.83,2.53,0,0,1.12,0,0,1.18,0,6.93,0,0,8.51,0,0,0,0,0,0,0
