stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,158.5,1368.2,0,0,0,0,0,0,0,0,0,0,0,0,0,30.35,0,0,0,0,0,0
  5-6,76.42,1729.06,0,0,0,0,0,0,0,0,0,92.2,0,0,54.91,22.61,0,0,0,0,0,0
  7-9,21.58,69.65,54.84,0,0,196.05,0,38.7,0,0,0,1387.13,34.95,0,449.82,4.34,13.14,0,0,0,0,0
 10-12,0,58.13,80.02,0,0,79.96,0,49.68,0,0,0,1182.25,36.32,0,411.07,0,0,4.75,58.67,5.88,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,1.29,0.9,0
 24-34,0,0,0,0.75,0,0.74,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.55,8.16,0,0,0,0,0,0,0,0,0.67,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0
 72-82,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.57,0.66,0,0,0,0,0,3.83,0,0,0,0.88,0,0,0,0,0,1.19
 96-106,0,0,0,0,0,0,0.99,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.66,0,0,0,0,0.63,0,1.98,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.23,0,2.29,0,3.9,0,0,0,0,0,0,0,0
