stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.77,72.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0,62.42,5.73,0,0,10.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.71,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,75.58,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.98,4.34,3.02,0,0,1.15,0,0,0,0,2.67,0,0,16.54,1.01,0,0,0,0,0,3.21,2.7,1.67,5.55,0,2.08,0,0
 24-34,0,0,0,0,0,2.19,0,0,0,3.27,0,0,0,7.19,0,5.61,16.52,0,0,0,0,0,0,0,0,1,2.57,0,4.98,0,0
 36-46,0,0,0,0,0,4.53,0,0,2.22,0.57,0,0,0.61,11.91,0,2.75,25.29,0,0,0,0,0,0,0,0,0,13.93,0,1.36,0,0
 48-58,0,0,0,0,0,0.99,0.4,0.66,2.48,0,0,0,1.32,17,0,3.67,10.17,0.64,0,0,0,0,0,0,0,0,6.41,0,0.46,0,2.06
 60-70,0,0,0,0,0,3.74,0,0,27.17,0,0,0,0.86,18.93,4.97,2.33,22.83,0,0,0,0,0,0,0,0,0,5.44,0,2.31,0,18.55
 72-82,0,0,0,0,0,1.07,0,0.51,27.1,0,0,0.55,0,31.37,0,3.74,12.61,0,0,0,0,0.71,3.89,0,0,0,2.18,0.56,9.4,0,1.16
 84-94,0,0,0,1.02,0,1.66,0,0,27.81,0,0,1.84,0,29.07,1.13,5.03,13.01,0,0,0,0,0,0,0,0,0,3.18,0.88,7.4,0,5.84
 96-106,0,0,0,1.27,0,11.45,0,2.73,43.67,1.3,0,0,0.98,43.99,2.99,6.32,13.04,0,0,0.64,0,3.18,0,0,0,0,0,0,1.14,0,11.69
108-118,0,0,0,0,0,3.54,0.54,1.29,34.7,0,1.09,3.6,0.72,31.52,0.65,1.32,25.05,0,0.47,0,0,0,0,0,0,0,0.94,2.28,9.68,2.18,0.45
120,0,0,0,0,0,4.46,0,0,11.32,3.83,0,0,0,33.6,0,6.89,9.54,0,0,0,0,0,0,0,0,0,9.15,0,1.84,0,0
