stage,epidermis,eye,immune,mesenchyme,muscle,neural,spinal_cord
 14-21,0,0,0,0,0,2.01,0
 24-34,0,0,0,0,0,1.22,0
 36-46,0,0,0,0,0,2.24,0
 48-58,0,0.42,0,0,0,0.56,0
 60-70,0,0.7,0,0,0,1.94,0
 72-82,0.81,0,4.8,0,0,0,0
 84-94,0,0.91,0,0,0,0,0
 96-106,0,0,0,0,0,0.67,0
108-118,0,0,0,1.14,0,0,3.49
120,0,0,1.52,0,5.02,5.54,0
