stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,3.92,0,0,0,14,0,0,0,0,5.01,9.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.86,0,0,0,0,40.5,0,6.16,0,0,0,0,0,0,0,0
 14-21,0,0,1.76,0.94,0,0,0,0,0,0,0,0,1.04,83.09,0,0,0.91,1.98,1.71,0,0,0,0
 24-34,0,0.6,0,23.28,0,0,0,0,1.46,0,0,0,1.07,54.6,0,0,0,0,0.63,0,0,0,0
 36-46,0,0,0.71,75.01,0,0,0,0,0,0,3.78,0,7.26,0,0,0,0,0,0.67,0,0.96,0,0
 48-58,0,0,0,150.97,0,0,0.55,0,0,0,0,0,20.82,0,0,0,0,0,1.39,0.84,0.66,0,0
 60-70,0,0,0,150.6,0,0.85,0,0,0,0,1.58,0,23.58,0,0,1.18,0,0,7.09,0,0,0,0
 72-82,0,0,0.65,65.02,0,0,1.35,0,0,0,4.14,2.38,28.54,0,0,0,0,0,0,0,0,0.71,0.99
 84-94,0,0,0.62,135.33,0,0,1.69,0,0,0,6.98,0,9.94,0,0,0,0,0,0.73,0,0,0,0
 96-106,0,0,0,60.1,0,0,0,0,0,0,3.78,0,20.31,0,0,0,0,0,0,1.76,0,0,0
108-118,0,0,0,48.19,0.46,0,0,0,0,1.02,5.22,0,13.83,0,0,0,0,0,0,2.28,1.57,0,0
120,0,0,9.48,0,0,0,0,0,1.88,0,18.45,0,9.77,0,0,0,0,0,0,0,0,0,0
