stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,19.68,6.7,0,0,0,0,0,0,1.94,0,0,0
 24-34,0,3.09,0,6.81,0,0.72,6.99,0,0,3.12,0,0.85,0,0,0,494.64,0,4.14,211.3,75.87,9.03,0,0,0.99,6.01,2.94,5.62,0,0.98,0
 36-46,0,0.58,0,1.22,0,4.76,23.25,0,0,1.63,0,0,0,16.36,0,701.55,0,11.35,208.6,120.75,0,0,13.04,0,0.64,0,3.28,0,0,0
 48-58,0,10.84,1.56,48.36,0,7.59,35.52,5.33,0,7.92,0,0,0,0.48,0.39,1222.7,0,13.31,218.51,185.12,0.39,0,0,2.1,13.22,0,4.58,1.3,1.4,0
 60-70,0.81,4.39,5.92,44.97,0,10.69,30.68,3.81,0,2.69,0,0,0,2.74,0,1624.6,0,38.1,143.55,131.24,7.16,0,0,14.02,0,0,9.9,16.09,0.64,0.59
 72-82,0,9.27,0.92,73.69,1.33,2.77,74.7,11.77,0,4.18,0,0,0,0,0,2603.38,0,33.94,187,92.09,0,0,0,27.72,0.6,0,10.54,29.19,3.14,33.76
 84-94,0,1.58,0,122.92,1.34,1.73,30.44,3.16,0,9.19,0,0,0,1.81,10.35,1972.59,0,46.75,118.19,56.78,0,0,0,7.39,1.3,0,6.32,58.14,4.08,47.55
 96-106,0,2.16,1.17,54.24,0.97,0,23.65,6.91,1.43,2.59,0,0,1.17,0,0,1580.37,0,22.04,106.04,111.97,1.15,0.57,0,23.12,1.58,0,0,14.76,3.64,36.47
108-118,0,10.07,0,51.35,0,0,21.83,10.33,0,5.84,0.47,0,0,0,0,1877.39,0,52.47,93.31,88.43,0,0,0,21.98,1.26,0,1.02,12.21,3.81,16.39
120,0,17.12,0,78.77,0,17.06,48.42,0,0,10.39,0,0,0,0,0,2771.44,1.56,96.23,125.35,176.67,0,7.6,11.89,67.29,4.38,0,0,46.75,0,30
