stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.7,728.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0
  5-6,15.64,571.12,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.29,35.57,0,85.19,0,0,0,162.52,0,0,0,0,0,18.81,0,0,0,0,0,0,0,0,0,0,1078.03,81.71,0,0,406.15,0,0,4.85,0,0,0,0,0,0,0,0,0
 10-12,0,29.62,0,152.12,0,25.6,0,109.66,0,0,0,0,0,41.3,0,0,0,0,0,0,0,0,0,0,1492.16,118.13,0,0,494.23,0,6.59,5.85,14.92,104.25,20.88,0,0,0,0,0,0
 14-21,0,0,0,9.68,36.12,14.43,0,15.65,0,1.88,0,6.99,8.39,3.13,0,0,0,0,0,3.37,0,27.2,0,20.28,214.07,5.07,0.85,4.23,3.62,0,0.84,1.21,26.54,0.91,9.54,78.55,0,0,1.96,0,0
 24-34,0,0,0.66,0.67,16.22,0.67,0,24.34,0,2.54,2.21,6.27,0,0,1.77,5.41,0,0.7,1.67,0,2.46,69.06,0,24.37,318.1,1.35,2.78,3.62,0,0,0,0,0,1.26,4.13,106.18,0,0,23.25,0,2.39
 36-46,0,0,0.95,0,10.3,2.92,0,13.66,0,12.63,8.53,22.44,2.36,0,1.2,1.8,0,0,2.11,0,1.22,78.77,0,20,158.08,5.9,1.33,1.22,0,0,0,0,1.05,0,0,101.16,0,0,14.08,0,2.44
 48-58,0,0,0,0,13.73,0,0,7.88,0.58,3.78,5.57,13.64,0,0.48,0.48,0.94,0.49,0,0.41,1.84,1.49,86.99,0.6,13.37,70.66,2.2,2.59,1.62,0,0.59,0,0,0,0.4,0,23.37,0,0.49,3.68,0,2.49
 60-70,0,0,0.62,0,3.65,2.23,0,11.91,0,0,6.82,39.54,6.02,0,6.9,4.34,1.33,0,0,0,0,130.64,2.61,10.48,89.39,0,3.69,7.89,0,0,0,0,0,0,0,4.32,0,1.5,13.44,1.92,0
 72-82,0,0,0,0,5.96,9.45,0,9.27,0,0,16.79,20.82,0.7,0,0,2.21,0.58,0.76,0.94,1.55,0,128.23,8.38,7.78,55.42,0,1.59,3.36,0,0,0.7,0,0,0,0,10.36,0,6.14,6.73,0.76,7.73
 84-94,0,0,1.01,0,16.7,28.16,1.09,14.06,0,3.04,3.62,32.97,3.57,0,2.09,6.84,1.41,0.68,0,2.98,0,138.09,3.11,6.7,52.29,3.04,0.64,4.04,0,0,0,0,0,0.74,0,14.25,0.56,4.14,15.42,8.66,0.82
 96-106,0,0,0.63,0,7.55,11.88,0,17.94,0,0.83,4.58,35.26,2.67,0,1.84,12.95,0,12.32,1.49,1.72,0.67,103.09,2.25,9.81,49.46,1.37,0.83,4.4,0,0,2.8,0,0,0.71,0,5.36,0,3.99,11.85,3.2,0
108-118,0,0,0.58,0,34.03,5.18,2.21,5.71,0.49,5.01,0.52,36.08,2.45,0,1.35,2.46,1.46,0.41,0,3.32,0,108.11,1.49,5.72,41.35,0,3.24,5.7,0,4.92,3.45,0,0,0,0,11.29,0,5.03,8.96,0.73,1.93
120,0,0,0,0,4.6,4.38,0,14.41,3.87,0,5.63,14.51,1.51,0,0,0,0,0,0,7.45,0,70.5,7.65,0,77.41,0,9.53,11.54,0,2.54,0,0,0,0,0,0,0,24.66,15.03,0,1.1
