stage,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.96,0,0,0,0
 14-21,0,0,1.19,0.85,0,0,0,0,0,0,9.43,0,0,0.89,0,0
 24-34,0,0,0.84,0,0,0,0,0.96,0,0.67,2.95,0,0,1.99,0,0
 36-46,0,0,2.82,0,0,0,0,0.87,0,0,16.31,0,1.65,2.17,0,0
 48-58,0,0,2.79,0,3.05,0,0,2.08,0,1.05,15.8,0,0,0,0,0
 60-70,0,0,2.18,0.72,0,0,0,2.03,0,0,0.59,0,0,0,0,0
 72-82,0,0,1.13,5.98,0,0.49,0,3.74,0,0,1.87,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,6.81,1.41,0,0.99,0,0,0,0,0
 96-106,0,0,13.51,0,0,1.03,0,1.9,0,0.67,0,0,0,0,0,0
108-118,2.36,0,0.94,0,0,1.79,0,6.27,0,3.66,1.38,0,0,0,0,1.16
120,0,9.23,0,0,0,2.88,4.54,0,0,3.14,0,0,0,0,2.64,0
