stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0
 14-21,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,22.88,0,0,0,19.18,0,0,0,0,0,0,0,0,15.9,0,6.95,18.07,0,0,0,3.4,0.96,0
 36-46,45.35,0,0.99,0,53.38,21.82,1.93,0,0,0,0,0,0,19.66,0.73,14.46,9.84,0,0,0,2.59,3.17,0
 48-58,79.4,0,5.33,0,45.98,19.67,0.86,0,0,0,0,0.41,1.7,25.11,0.82,6.38,12,0.43,1.01,0,2.9,1.16,0
 60-70,54.12,0,19.74,0,60.51,43.43,1.15,0,0,0,0,0,0,27.68,0.85,9.87,22.02,0,1.33,0,0,0,0
 72-82,33.49,4.93,3.99,0.9,41.16,36.06,1.1,0,0,0,0,0,0,38.61,0,9.82,7.99,0,0,0,0,5.36,1.87
 84-94,57.87,0,13.75,0,66.37,31.88,5.06,0.73,0,0,0,0,0,22.02,0,6.3,11.23,0,0,0,0,1.49,0
 96-106,32.38,0,2.61,0,44.61,24.66,0,0,0,0,0,0,0.68,27.46,0,1.67,18.52,0,0,0,1.34,0,0
108-118,36.1,0,5.53,0,39.04,12.15,0,0,1.81,1.15,0.79,0,0,30.61,0.47,3.75,9.12,0,0,0,3.55,0,0
120,77.97,0,0,0,17.69,15.97,0,0,0,0,0,0,0,13.96,0,2.41,3.97,0,0,0,0,0,0
