stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,1.17,0,0.84,0,0,0,0,0,0,1.53,5.96,0,0,0,0,0,4.46,0,0
 24-34,0,0,0,1.34,0,0.89,0,0,0,0,0,2.22,0,0,84.04,0.64,0,0,0.96,1.13,21.53,0,0
 36-46,0,1.99,0,9.04,0,2.29,0,0,0,0,0,0.66,0,0,324.25,0,0.79,0,0.84,0,39.89,0,0
 48-58,0,0,0,37.76,0,8.98,0,0,0,0,6.25,2.82,0,0,563.11,0,0.5,0,0,0,48.73,0,0
 60-70,0,0.69,0,140.8,0,9.9,1.86,0,0,1.16,0,2.8,9.41,0,751.14,0,0,0,1.48,0,59.64,0,0
 72-82,0,0,2.83,178.8,0,11.88,0,0.89,0,0,0,3.43,0,0,709.34,0,0,1.28,0,0,37.33,0,3.84
 84-94,1.11,1.69,0,131.47,0,3.47,0,0,0,0,0,2.48,0,0,416.43,0,0,0.65,2.12,0,28.19,0,3.77
 96-106,0,0,0,158.62,0,4.73,1.09,0,0.94,0,0,5.24,0.59,0.83,233.61,0,1.34,0,0,0,6.9,0,0
108-118,0,0,0,123.74,1.45,20.19,0,0.63,0,0,0,1.13,0,0,325.22,0,0,0,0,0,16.03,0,0
120,0,9.48,0,39.26,0,11.26,1.5,0,1.69,0,0,39.13,0,0,906,0,0,0,17.79,0,46.96,21.61,0
