stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,13.06,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.84,0,7.08,0,0,0,0,0,0,0,0,0,0,17.99,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35,0,15.53,0,0,0,0,0
 14-21,0,0,2.77,7.4,0,0,0,0,0,0,0,0,3.57,0,28.68,1.02,0,0,1.83,0.91,2.27,0
 24-34,0,0,1.86,2.76,0,0,2.89,0,0,0,0,0.92,3.75,0.75,17.69,1.08,0,0.7,0,0,1.39,0.76
 36-46,0,0,0,0.84,0,0,0,0,0,0,0,0,3.51,0,15.76,0,0,0.73,0,0,0.75,0
 48-58,0,0,0,2.91,0,0,0.61,0,0,0,0,0,0.43,0.58,5.55,0,0,0,0,0,0,0
 60-70,0,0,1.3,0,0,2.6,0,0,0,0,1.83,0,0,0,13.2,0,0,0,0,0,0,0
 72-82,0,0,0,0.92,0,1.09,2.41,0.97,0,1.57,0,0,0,1.24,13.85,2.76,0,0,0,0,3.32,0
 84-94,0,0,0,0,0.69,0,2.4,0.61,0,0,0.68,0,0.88,0,4.59,0,0,0,0,0,0,0
 96-106,0,0,0.6,0.64,0,0,0,0,0,0,0,0.67,0.62,0,4.55,0,0,4.03,0,0,0,0.92
108-118,0,0,0,0,0,0,0,0,0.72,0,1.89,0,3.86,0.62,3.57,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.68,0,3.15,11.49,25.78,0,0,0,0,0,0,0
