stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,taste,vasculature
  3-4,10.67,45.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.94,62.47,0,0,0,0,0,0,0,0,0,0,0,0,0,36.25,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.64,5.22,0,0,3.28,0,0,0,0
 14-21,0,0,0.92,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0.94,0,0
 24-34,0,0,1.48,0,0,0,0,5.66,0,0.93,0,19.1,0,1.1,0,2.42,0,0,0,2.86
 36-46,0,0,0,0,0,0,0,3.2,0,0,0,27.19,0,4.06,6.26,1.75,0,0,0,0
 48-58,0,0,3.4,0,1.57,0,0,4.01,1.34,1.72,0,7.23,0,6.31,0.69,3.07,0,0,0,0
 60-70,0,0,0,0,1.21,0,0,4.06,0,0,0,2.49,0,11.71,0.78,1.06,0,0,0,0
 72-82,0,0,0.55,0,4.35,0,0,22.05,0.72,0,0.97,6.56,0,4.15,0.61,0,0,0,0,0
 84-94,0,0,0,0.71,2.91,0,0.88,23.71,0,2.13,0,12.23,0,8.24,0,1.42,0,0,0.66,0
 96-106,0,0,0,0,0,0,1.94,16.92,2.14,5.77,0,0,0,6.34,0,6.29,0,0,0,0
108-118,0,0,0,0,1.57,0,0.43,27.93,0,1.45,0,8.5,0,3.87,0,4.6,1.15,0,0.87,0
120,0,0,0,0,0,1.21,1.79,13.98,0,0,0,0,0,5.27,0,8.74,0,0,8.15,0
