stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,1.11,2.07,0,0,0,0,0
 24-34,0,0,0,1.47,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,3.88,0,0.61,0,0,0,0,0
 36-46,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0.75,0,0,0,2.11,0,0,0,0,0,0,0
 48-58,0,0,0,2.63,0.89,0,1.84,0,0,0,2.78,0,0,0,0,0,0,0,0,0.72,4.79,0,0,0,2.63,0,0,0,0,0,0,0,2.35
 60-70,0,0,2.04,1.47,0,0,0,0,96.68,0,0,0,0,0,0,0,2.6,0,0,15.06,8.37,0,0,0,18.58,0.73,0,0,0,0,0,0,0
 72-82,0,0,3.72,9.31,29.45,0,1.23,0,1320.98,0,0,1.23,0,0,0,0,28.46,0,0,21.74,29.73,1.33,0,0,23.84,0.64,0,1.83,6.44,0,0.5,1.37,0
 84-94,0,0,16.95,4.61,9.18,7.87,4.72,0,1457.08,1.22,2.33,0,0.98,0,8.91,0,24.51,1.46,0,40.12,27.3,2.21,0,0,111.14,3.95,0,1.06,19.66,0.7,6.92,0,0.74
 96-106,0,0,30.38,18.25,62.01,3.44,2.98,0,3507,6.35,0,4.62,0,0,4.34,7.08,35.61,1.65,0,46.38,92.38,1.49,0,1.17,98.59,1.88,0,1.39,119.38,0,3.22,0,0
108-118,0,0,30.58,4.3,19.3,2.06,2.63,0,2427.79,3.18,0,1.57,3.24,1.24,4.85,0,81.08,1.4,0,87.96,138.02,2.11,0,0,66.64,7.98,0,3,117.35,2.93,3.95,0,4.17
120,0,0,35.5,18.66,14.38,3.3,2.95,6.42,2476.2,14.58,0,10.3,0,0,12.48,0,31.51,5.17,10.71,69.32,48.94,12.27,3.1,0,117.17,2.27,0,0,65.15,0,0,0,0
