stage,axial,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,20.78,10.11,1.04,0,0,0,0,22.43,0,0.95,0,0
 24-34,0,0.66,8.24,12.54,0,0,0,0,0,0,0,0,0,0.77,0,0,149.32,13.28,15.54,0,2.28,0,0,79.12,0,5.33,0,0
 36-46,16.91,0.78,0,2.69,0,0,14.47,0,0,0,0,0,0,1.79,0,0,320.5,11.2,12.07,0,0,1.41,0.83,145.6,0,0,0,0
 48-58,0,0.74,7.86,14.86,0,4.63,28.52,0,0.51,0,0,0,6.22,3.68,0,0.98,340.6,0.76,4.49,0,0,0,0,127.45,0,5.1,0,0
 60-70,0,0.7,1.97,86.38,0,0,107.82,0,0,0,9.69,2.6,0,7,0,0,598.29,4.6,14.79,1.14,1.02,0,0,74.84,0,0.63,0,0
 72-82,0,0.61,1.84,126.45,14.37,0,93.38,0,0,0,0,0,0,3.92,0,1.13,357.93,0,8.02,0,0.49,0,0,37.04,0,8.5,0,4.52
 84-94,0,0,2.56,106.42,0,0,79.16,0,1.45,0,0,0,0,1.19,0,1.16,307.65,0,3.02,0,2.47,0,0,53.94,5.31,0,1.11,0
 96-106,0,0,0,100.93,1.35,0,81.52,0,0,0.89,0,0,0,7.81,0.62,0,265.37,0,6.48,0.71,0,0,0,41.37,0,0,1.88,0
108-118,0,0,3.96,94.67,0,0,90.19,0.43,0,0,0,0,0,4.37,0,0,293.11,0,21.91,1.23,0,0,0,21.99,1.35,0,0,0
120,0,0,12.66,106.27,0,0,151.1,0,0,0,0,0,0,3.11,0,0,589.4,0,21.45,14.49,0,0,0,14.62,0,10.14,0,0
