stage,eye,fin_mesenchyme,immune,melanocytes,mesenchyme,neural
 36-46,0,0,0,0,0,1.4
 48-58,0,0,0,0.51,0.66,1.66
 60-70,1.49,0.79,1.88,0,0,0
 72-82,0,0,0,0,0,1.88
 96-106,0,0,0,0,1.84,0
