stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,immune,ionocyte,mesenchyme,neural,periderm,pronephros,spinal_cord,vasculature
 24-34,0,0,0,0,0,0,0,0,3.15,0,0,0.98,0
 36-46,0,0,0,0,0,0,0,0,0.67,0,0,1.65,0
 48-58,0,0,0,0,0,0,0,0,4.19,0,0,0,0
 60-70,0,0,0,0.57,0,0.92,0.71,0,1.2,0,0,0,0
 72-82,0,0.96,0,0,0,10.99,0,0,21.82,0,0,0,0
 84-94,0,0.97,0,0.63,0,6.32,0,0,9.61,0,0,0,2.21
 96-106,0,6.16,0,0.94,1.29,30.95,3.17,1.63,21.13,0,0,0,0
108-118,0,1.66,0.45,0,0.54,36.64,0,0.42,22.38,0.62,0.41,0,0.94
120,15.65,0,0,0,0,54.5,0,1.71,31.65,0,0,0,3.1
