stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,180.75,1340.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.73,0,0,0,0,0,0,0,0
  5-6,121.57,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,6.91,0,0,0,0,0,0,0,0,0
  7-9,0,5.95,16.19,0,0,0,20.49,0,0,0,0,0,0,0,0,0,0,0,194.89,0,0,140.59,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.06,0,19.47,0,5.86,0,0,3.72,0,0,0,0,0,0,0,0,122.68,40.4,0,253.91,0,10.79,4.19,19.32,0,0,0,0,0
 14-21,0,0,0,15.47,12.32,0,2.53,0.88,0,1.05,0,0,0,0,0,0,10.43,20.37,15.09,0,0,0,0,0,17.39,0,12.85,1.19,0,0,0
 24-34,0,0,0,0.84,0.89,0,0.61,0,0.68,0,0.69,0,0,0.96,0,0,7.82,4.39,3.64,0,0,0,0,0,0,0,0.62,0,0,4.43,0
 36-46,0,0,0.96,0.73,0,0,0,0,0,0,0,0,0,0,0.57,0,5.92,0,5.15,0,0,0,0,0,0,0,0,0,0,4.22,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.37,0,0,0,0.41,0,0,0,0,0,0,0.39,0,4.68,5.21
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0.65,0,0,6.65
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1.31,0,1.59,0,0,0,0,0,0,0,0,0,0,3.99,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.75,0,0,0,0,0,0.56,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0.58,0,0.56,0,0,0,0,0,0,0,0,0,0,2.07,8.8
120,0,0,0,2.67,0,1.06,0,0,0,0,0,0,2.26,0,0,0,0,0,3.51,0,0,0,21.14,0,0,0,0,0,0,1.4,0
