stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.8,421.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.42,645.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.66,29.01,0,36.67,0,0,0,51.47,0,0,0,0,0,11.33,0,0,0,0,0,0,0,0,0,0,0,417.8,7.68,0,0,162.05,0,9.21,0,0,0,0,0,0,0,0,0
 10-12,0,4.32,0,43.31,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.21,10.32,0,0,108.24,0,17.53,0,31.49,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.13,0,0,0.96,0,0,0,1.22,0,0,0,0,0,0,0,0,0,6.29,0,0,4.89,60.66,0,0,0,0,0,0,9.3,0,0,5.71,17.26,0,2.24,0,0
 24-34,0,0,0,0.6,3.06,0,0,14.32,0,0,0.83,1.35,0,0,3.27,1.44,0,0,0,11.25,0,9.65,0,2.33,2.46,130.53,0,4.05,6.43,0,5.98,0,0,0,2.19,1.99,21,0,9.07,0,0
 36-46,0,0,0,0,3.54,1.22,0,20.49,0,0,1.23,3.35,0,0,0.57,0,0,0,0,0,0,18.97,0,0,3.19,131.57,0,1.16,0,0,0.65,0.74,0,3.31,0,0,25.86,0,2.33,0,2.5
 48-58,0,0,0,0,4.47,0,0,36.19,0,0,0,11.03,0,0.55,0.4,0.56,0,0,0,0,0.54,16.5,0.69,0,5.37,112.49,5.8,0.95,0.54,0,6.43,0,0,0,0,0,35.01,0,1.74,0,0.92
 60-70,0,0,0,0,9.09,1.39,0,31.2,0,0,3.13,10.63,1.41,0,1.47,0.57,0,5.64,1,0,0,16.31,0,6.97,3.54,145.03,0,1.89,0,0,8.47,0,1.38,0.63,0,0,25.85,1,0,0,0.99
 72-82,0,0,0,0,2.98,1.81,0,44.99,0,0,0.94,4.58,0,0,0,0.6,0,0,2.67,0,0,29.72,0,0,3.81,87.67,0,4.04,0.99,0,10.49,0,0,0,0,0,12.83,0,4.74,0,0
 84-94,0,0,0,0,2.07,0,0,37.2,0,1.98,0,11.46,0,0,2.66,0.58,1.9,0,0,0,0,9.87,0,0,6.12,84.06,2.07,0,1.52,0,17.97,0,0,1.87,0.66,0,17.77,1.37,7.6,0,0
 96-106,0,0,1.28,0,7.57,2.99,0.84,26.15,1.45,0,1.83,19.33,1.18,0,1.6,0,0,4.84,0,0,0,31.95,0,0,1.38,40.86,0.71,0,5.31,0,30.76,0,0,0,0,0,17.77,0.67,3.18,4.24,3.36
108-118,0,0,0,0.61,7.16,0.93,0,50.02,1.51,1.17,1.34,15.4,0.7,0,0,2.16,0.64,2.85,0,0,1.53,29.09,2.16,0,4.75,89.94,0,0,0.47,0,13.95,0,0,0.64,0.43,0,8.69,0,1.81,0,1.78
120,0,0,0,0,21.43,5.01,0,26.29,3.05,6.56,0,29.58,1.02,0,0,8.33,0,0,5.32,2.6,0,47.32,0,1.45,22.11,171.7,7.14,1.61,7.32,0,23.12,0,0,0,0,0,10.7,6.25,31.81,0,9.68
