stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.37,0,0,0,0,81.23,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,574.63,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,52.69,0,5.18,0,0,62.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.6,6.38,0,0,22.51,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.2,0,11.79,0,0,0,2.98,0,0,0,0,0,0,0,0,2.16,0,0,286.35,0,0,0.94,0,0,0,0,1.3,1,72.34,0,0,0,0,0
 24-34,0,0,0,2.54,0,159.2,0,0,1.06,8.67,0,0,0,0,0,0,0,0,17.48,0,1.39,2234.51,0,1.79,4.12,0,0,0,0,0,1.11,350.28,0,0,7.13,0,0
 36-46,0,0,0,3.16,0,405.34,0.85,0,0,13.87,0,0,0,0.64,1.56,0,0.87,0,9.65,0,0,2508.75,4.53,1.67,0,0,0,10.79,0,0,0,361.61,0,0,2.06,0,0
 48-58,0,0,0,35.24,6.02,1271.72,0,21.43,4.54,115.47,0,0,0,0,0.48,0,0,0.99,33.64,12.84,15.87,3544.35,5.37,0.61,0,0,0.56,5.55,0,0,0,275.29,0,0,0,0,6.23
 60-70,0,0,0,28.62,0,2929.77,0,4.58,0,50.71,0,4.66,0,3.2,0,3.02,0,0,29.64,5.7,0,3613.88,7.48,1.27,0,0,0,25.05,1.35,0,0,362.3,0,4.5,0,0,5.13
 72-82,0,0,0,27.32,9.84,2796.55,1.84,5.06,1.54,33.14,0.56,0,0.66,1.67,0.83,1.64,4.6,0,30.59,0,1.76,2213.65,0,1.83,0,0,0,8.49,0,0,0,223.19,0,0,4.16,0,0
 84-94,0,0,0,10.38,2.35,2079.54,0,0.91,0.91,73.32,1.94,0,0,3.06,2.38,8.71,0,0,55.24,2.37,3.18,1040.34,1.25,6.49,1.75,0,0,5.91,0,0,0,108.96,0,0,0,2.82,0
 96-106,0,0.91,0,4.23,3.43,1493.78,0,1,0,23.88,1.86,0,0,0,0,0.74,0,0,13.51,0.59,2.82,762,0,1.2,0,0,0,7.61,0,0,0,50.37,0,0,3.92,2,9.28
108-118,0,0,0,14.46,1.61,1711.63,0.54,0,0,41.55,0,0,0,0,0.6,0,3.66,0,26.84,6.83,3.55,1123.71,0,0.54,0,0,0,4.18,1.48,0,0,49.9,0.71,0,0,12.44,4.31
120,0,0,0,48.36,5.04,3137.97,2.03,7.36,5.84,160.84,6.82,0,10.58,0,4.43,0,3.71,0,100.92,31.68,6.61,4359.19,4.65,25.34,13.34,0,18.35,10.08,0,0,0,118.83,0,8,6.98,0,0
